Name;Company;Industry;CO2_emissions_t;Source_CO2_emissions;Source;City;Province;latitude;longitude
Fxbrica LomaSer;Loma Negra;Cement;;Industrial point source;https://www.lomanegra.com/nuestras-unidades/;Vicente Casares;Buenos Aires;-34.957976832627;-58.642952483835
Planta Holcim Capdeville Mendoza;HOLCIM;Cement;534264.71;Industrial point source;;Las Heras;Mendoza;-32.740610196833;-68.837219638630
Planta Holcim Malaguexo;HOLCIM;Cement;2366029.41;Industrial point source;;Malaguexo;Cxrdoba;-31.477144950888;-64.358355119461
Planta Holcim Puesto Viejo;HOLCIM;Cement;763235.29;Industrial point source;;Puesto Viejo;Jujuy;-24.490383251894;-64.957081198592
Planta Holcim Campana;HOLCIM;Cement;;Industrial point source;;Campana;Buenos Aires;-34.145607191599;-59.020346338249
Planta Campana;Cementos Avellaneda;Cement;;Industrial point source;;Campana;Buenos Aires;-34.169785456995;-59.001845830862
CT LA PLATA - SULLAIR;;Thermal power plant;14048.00;Industrial point source;;San Carlos;Buenos Aires;-34.933866404668;-58.016400581537
CT LAGUNA BLANCA - SECCO;;Thermal power plant;4457.00;Industrial point source;;Laguna Blanca;Formosa;-25.126950545234;-58.259150732006
CT LINCOLN;;Thermal power plant;5898.00;Industrial point source;;Lincoln;Buenos Aires;-34.857167311038;-61.520703831684
Fxbrica Comodoro Rivadavia;PCR;Cement;;Industrial point source;;Comodoro Rivadavia;Chubut;-45.802144551281;-67.423681602394
Fxbrica Pico Truncado;PCR;Cement;457941.18;Industrial point source;;Pico Truncado;Santa Cruz;-46.787138248615;-67.929544215843
Planta siderxrgica Ternium Siderar;Ternium Argentina S.A.;Steel;5286272.00;Industrial point source;https://www.gem.wiki/Planta_sider%C3%BArgica_Ternium_Siderar;Ramallo/San Nicolas;Buenos Aires;-33.322604930395;-60.159454163788
;Ternium Argentina S.A.;Steel;;Industrial point source;;Ensenada;Buenos Aires;-34.806065837331;-57.929249968328
;Ternium Argentina S.A.;Steel;;Industrial point source;;Haedo;Buenos Aires;-34.582627072485;-58.631463214818
;Ternium Argentina S.A.;Steel;;Industrial point source;;Canning;Buenos Aires;-34.799426580998;-58.516106776976
;Ternium Argentina S.A.;Steel;;Industrial point source;;Florencio Varela;Buenos Aires;-34.727223181628;-58.181023790864
;Ternium Argentina S.A.;Steel;;Industrial point source;;Rosario;Santa Fe;-32.889170966540;-60.709182306915
Planta siderxrgica TenarisSiderca;Ternaris S.A. / Siderca S.A.I.C.;Steel;650000.00;Industrial point source;https://www.gem.wiki/Planta_sider%C3%BArgica_TenarisSiderca;Campana;Buenos Aires;-34.152554000000;-58.977388000000
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;;Valentin Alsina;Buenos Aires;-34.662881539407;-58.406812550802
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;;Villa Constitucixn;Santa Fe;-33.239811665751;-60.317617387344
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;;Villa Mercedes;San Luis;-34.692356244145;-58.541869973801
Planta siderxrgia ArcelorMittal Acindar;Acindar Industria Argentina de Aceros S.A.;Steel;1015000.00;Industrial point source;https://www.gem.wiki/Planta_sider%C3%BArgica_ArcelorMittal_Acindar;Villa Constitucixn;Santa Fe;-33.256309000000;-60.292472000000
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;;Rosario;Santa Fe;-32.970771234367;-60.722063773338
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;;San Nicolas;Buenos Aires;-33.347007971105;-60.258632357077
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;;Villa Mercedes;San Luis;-33.720877342117;-65.464442052362
Planta Siderurgica ACERBRAG;Acerbrag S.A. (grupo brasilexo Votorantim);Steel;;Industrial point source;;Bragado;Buenos Aires;-35.137117891147;-60.452089199364
Aceros Zapla;Aceros Zapla S.A.;Steel;;Industrial point source;http://www.aceroszapla.com.ar/empresa.php;Palpalx;Jujuy;-24.246098800446;-65.198160832031
Planta siderxrgica Gerdau Sipar Pxrez;Gerdau SA;Steel;103031.00;Industrial point source;https://www.gem.wiki/Planta_sider%C3%BArgica_Gerdau_Sipar_P%C3%A9rez;Pxrez;Santa Fe;-32.991233600000;-60.758873300000
ALUAR SA - GENERADOR;Aluar;Thermal power plant;210445.00;Industrial point source;;Puerto Madryn;Chubut;-42.743884803272;-65.048399271627
C.T. AGUA DEL CAJON;;Thermal power plant;1108638.00;Industrial point source;;Neuquxn;Neuquxn;-38.935318779054;-68.357460746867
C.T. ALMIRANTE BROWN;Excell Power S.R.L.;Thermal power plant;7094.00;Industrial point source;;Burazco;Buenos Aires;-34.837660337743;-58.405685047387
C.T. LOMA DE LA LATA S.A.;C.T. LOMA DE LA LATA S.A.;Thermal power plant;1779653.00;Industrial point source;;Neuquxn;Neuquxn;-38.511789741886;-68.606378253807
C.T. PATAGONICAS SA;CENTRALES TERMICAS PATAGONICAS S.A.;Thermal power plant;27712.00;Industrial point source;;Comodoro Rivadavia;Chubut;-45.813906117753;-67.444277117473
C.T. SALTA (TERMOANDES);AES;Thermal power plant;1004183.00;Industrial point source;;Cobos;Salta;-24.742711706449;-65.051514960853
C.TERMICA ALTO VALLE;;Thermal power plant;198282.00;Industrial point source;;Neuquxn;Neuquxn;-38.951615939006;-68.021744873854
C.TERMICA SAN NICOLAS;AES;Thermal power plant;2158549.00;Industrial point source;;San Nicolxs de Los Arroyos;Buenos Aires;-33.358090736896;-60.174761787322
CENTRAL DIQUE S.A.;CENTRAL DIQUE S.A.;Thermal power plant;478.00;Industrial point source;;Ensenada;Buenos Aires;-34.889873579663;-57.933354360518
CENTRAL DOCK SUD;Central Dock Sud;Thermal power plant;2101890.00;Industrial point source;;Dock Sud;Buenos Aires;-34.653278614482;-58.343520587515
CENTRAL PIEDRA BUENA S.A.;Pampa Energxa;Thermal power plant;243763.00;Industrial point source;;Ingeniero White;Buenos Aires;-38.784825227476;-62.256072711436
CENTRAL PUERTO SA;Central Puerto S.A.;Thermal power plant;3481800.00;Industrial point source;;Lujxn de Cuyo;Mendoza;-33.054331672917;-68.980717231873
CENTRAL TERMICA PIQUIRENDA;Pampa Energxa;Thermal power plant;25963.00;Industrial point source;;Piquirenda;Salta;-22.350046037543;-63.767005329713
CT 9 de JULIO C Cost ATLANTICA;Centrales de la Costa Atlxntica S.A.;Thermal power plant;221258.00;Industrial point source;;Mar del Plata;Buenos Aires;-38.049493905321;-57.545535829713
CT ANCHORIS - METHAX;EMESA;Thermal power plant;50825.00;Industrial point source;;Tupungato;Mendoza;-33.313356395358;-68.891511462424
CT AxATUYA - SULLAIR;;Thermal power plant;11557.00;Industrial point source;;Axatuya;Santiago del Estero;-28.445841312266;-62.855603190138
CT AxATUYA II - SULLAIR;;Thermal power plant;4840.00;Industrial point source;;Axatuya;Santiago del Estero;-28.445841312266;-62.855603190138
CT ARISTOBU.DEL VALLE-SOENERGY;;Thermal power plant;24495.00;Industrial point source;;Aristxbulo del Valle;Misiones;-27.091237692973;-54.863442406587
CT BARKER CIERRE CC;;Thermal power plant;636102.00;Industrial point source;;Benito Juxrez;Buenos Aires;-37.548588257877;-59.450665699447
CT BARRAGAN - ENARSA;ENARSA;Thermal power plant;319657.00;Industrial point source;;Ensenada;Buenos Aires;-34.859657508680;-57.955774029837
CT BELL VILLE - SULLAIR;SULLAIR ARGENTINA S.A.;Thermal power plant;6459.00;Industrial point source;;Bell Ville;Cxrdoba;-32.610395618647;-62.685832245260
CT BRAGADO 2 - GENNEIA;Genneia;Thermal power plant;79138.00;Industrial point source;;Bragado;Buenos Aires;-35.136513955612;-60.432414256814
CT BRAGADO 3 - GENNEIA;Genneia;Thermal power plant;92453.00;Industrial point source;;Bragado;Buenos Aires;-35.136513955612;-60.432414256814
CT BRIGADIER LOPEZ;Central Puerto S.A.;Thermal power plant;64572.00;Industrial point source;;Santa Fe;Santa Fe;-31.712841542501;-60.779300214608
CT CAIMANCITO -SULLAIR;;Thermal power plant;62571.00;Industrial point source;;Libertador Gral San Martxn;Jujuy;-23.732268910377;-64.613993172527
CT CAxADA DE GOMEZ - SECCO;Secco;Thermal power plant;105744.00;Industrial point source;;Caxada de Gxmez;Santa Fe;-32.781872219229;-61.418433516418
CT CHILECITO - SECCO;Secco;Thermal power plant;4810.00;Industrial point source;;Chilecito;La Rioja;-29.157337009257;-67.507466658118
CT COLON BS.AS - SULLAIR;;Thermal power plant;5222.00;Industrial point source;;Colxn;Buenos Aires;-33.732012128137;-61.097098943922
CT EZEIZA ETAPA1 G MEDITERRANE;;Thermal power plant;56618.00;Industrial point source;;Carlos Spegazzini;Buenos Aires;-34.902743617093;-58.616923331727
CT EZEIZA ETAPA2 G MEDITERRANE;;Thermal power plant;32456.00;Industrial point source;;Carlos Spegazzini;Buenos Aires;-34.902743617093;-58.616923331727
CT GENERAL ROJO CIERRE CC;;Thermal power plant;619957.00;Industrial point source;;San Nicolxs de Los Arroyos;Buenos Aires;-33.455414780766;-60.280902224428
CT GOYA - SECCO;;Thermal power plant;4754.00;Industrial point source;;Goya;Corrientes;-29.158216405042;-59.273457149072
CT INDEPEND. ETAPA1 G MEDITERR;Grupo Albanesi;Thermal power plant;10088.00;Industrial point source;;San Miguel de Tucumxn;Tucumxn;-26.866965997646;-65.221828614766
CT INDEPEND. ETAPA2 G MEDITERR;Grupo Albanesi;Thermal power plant;9463.00;Industrial point source;;San Miguel de Tucumxn;Tucumxn;-26.866965997646;-65.221828614766
CT ING JUAREZ - SECCO;;Thermal power plant;2692.00;Industrial point source;;Ingeniero Juxrez;Formosa;-23.909016867446;-61.831502449431

