Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct]
Celulosa Argentina S.A.;Celulosa Argentina S.A.;Pulp and Paper;416400;Industrial point source;Capitan Bermudez;Santa Fe;-32.73646168;-60.70218034;Cellulose pulp;166560;;0.92;;;"Estimation made by K. Kuparinen, E.  Vakkilainen, and T. Tinjala, ""Biomass-Based Carbon Capture and Utilization in kraft pulp mills"". See Sources and methodology";2.5
Papel Prensa S.A.I.C.F.;Papel Prensa S.A.I.C.F.;Pulp and Paper;421762.5;Industrial point source;San Pedro;Buenos Aires;-33.7216403;-59.62774924;Cellulose pulp;168705;;0.66;;;"Estimation made by K. Kuparinen, E.  Vakkilainen, and T. Tinjala, ""Biomass-Based Carbon Capture and Utilization in kraft pulp mills"". See Sources and methodology";2.5
Papel Misionero;Papel Misionero;Pulp and Paper;272137.5;Industrial point source;Puerto Leoni;Misiones;-26.93561856;-55.11980442;Cellulose pulp;108855;;0.9;;;"Estimation made by K. Kuparinen, E.  Vakkilainen, and T. Tinjala, ""Biomass-Based Carbon Capture and Utilization in kraft pulp mills"". See Sources and methodology";2.5
Papelera del NOA S.A.;Papelera del NOA S.A.;Pulp and Paper;85425;Industrial point source;Río Blanco;Jujuy;-24.23195846;-65.23014529;Cellulose pulp;34170;;0.84;;;"Estimation made by K. Kuparinen, E.  Vakkilainen, and T. Tinjala, ""Biomass-Based Carbon Capture and Utilization in kraft pulp mills"". See Sources and methodology";2.5
Fábrica de Papel Ledesma;Fábrica de Papel Ledesma;Pulp and Paper;212250;Industrial point source;Libertador General San Martín;Jujuy;-23.82765684;-64.79551334;Cellulose pulp;84900;;0.67;;;"Estimation made by K. Kuparinen, E.  Vakkilainen, and T. Tinjala, ""Biomass-Based Carbon Capture and Utilization in kraft pulp mills"". See Sources and methodology";2.5
Fana Química SA;Fana Química SA;Pulp and Paper;4000;Industrial point source;San José;Entre Ríos;;;Cellulose pulp;1600;;0.41;;;"Estimation made by K. Kuparinen, E.  Vakkilainen, and T. Tinjala, ""Biomass-Based Carbon Capture and Utilization in kraft pulp mills"". See Sources and methodology";2.5
Fábrica L'Amalí;Loma Negra;Cement;2442352.941;Industrial point source;Olavarría;Buenos Aires;-37.03607735;-60.29810249;Cement;3200000;;;Integrada;2021;Asociación de Fabricantes de Cemento Portland (AFCP);0.519
Fábrica Olavarría;Loma Negra;Cement;1144852.941;Industrial point source;Olavarría;Buenos Aires;-36.93725544;-60.16484634;Cement;1500000;;;Integrada;2021;Asociación de Fabricantes de Cemento Portland (AFCP);0.519
Fábrica Catamarca;Loma Negra;Cement;1373823.529;Industrial point source;El Alto;Catamarca;-28.46620076;-65.21491434;Cement;1800000;;;Integrada;2021;Asociación de Fabricantes de Cemento Portland (AFCP);0.519
Fábrica Zapala;Loma Negra;Cement;305294.1176;Industrial point source;Zapala;Neuquén;-38.89661841;-70.03773085;Cement;400000;;;Integrada;2021;Asociación de Fabricantes de Cemento Portland (AFCP);0.519
Planta Holcim Capdeville Mendoza;HOLCIM;Cement;534264.7059;Industrial point source;Las Heras;Mendoza;-32.7406102;-68.83721964;Cement;700000;;;;2021;Asociación de Fabricantes de Cemento Portland (AFCP);0.519
Planta Holcim Malagueño;HOLCIM;Cement;2366029.412;Industrial point source;Malagueño;Córdoba;-31.47714495;-64.35835512;Cement;3100000;;;;;Asociación de Fabricantes de Cemento Portland (AFCP);0.519
Planta Holcim Puesto Viejo;HOLCIM;Cement;763235.2941;Industrial point source;Puesto Viejo;Jujuy;-24.49038325;-64.9570812;Cement;1000000;;;;;Asociación de Fabricantes de Cemento Portland (AFCP);0.519
San Jacinto;Cementos Avellaneda;Cement;1831764.706;Industrial point source;Olavarría;Buenos Aires;-36.98156278;-60.24814569;Cement;2400000;;;;;Asociación de Fabricantes de Cemento Portland (AFCP);0.519
El Grande;Cementos Avellaneda;Cement;839558.8235;Industrial point source;La Calera;San Luis;-32.799973;-66.85763867;Cement;1100000;;;;;Asociación de Fabricantes de Cemento Portland (AFCP);0.519
Fábrica Pico Truncado;PCR;Cement;457941.1765;Industrial point source;Pico Truncado;Santa Cruz;-46.78713825;-67.92954422;Cement;600000;;;;;Asociación de Fabricantes de Cemento Portland (AFCP);0.519
Planta siderúrgica Ternium Siderar;Ternium Argentina S.A.;Steel;5286272;Industrial point source;Ramallo/San Nicolas;Buenos Aires;-33.32260493;-60.15945416;Slabs and hot rolled flat products , cold rolled flat products , tinplate;3200000;;0.59375;Blast Furnace - Basic Oxygen Furnace (BF-BOF);2021;Estimated. See sources and methodology.;1.65196
Planta siderúrgica TenarisSiderca;Ternaris S.A. / Siderca S.A.I.C.;Steel;650000;Industrial point source;Campana;Buenos Aires;-34.152554;-58.977388;Seamless pipes ;1300000;;0.538461538;Electric Arc Furnace (EAF);2021;Estimated. See sources and methodology.;0.5
Acindar;Acindar Industria Argentina de Aceros S.A.;Steel;1015000;Industrial point source;Villa Constitución;Santa Fe;-33.256309;-60.292472;Billets, rolled non-flat products ;1750000;;0.628571429;Electric Arc Furnace (EAF);2021;Estimated. See sources and methodology.;0.58
Planta siderúrgica Gerdau Sipar Pérez;Gerdau SA;Steel;103031;Industrial point source;Pérez;Santa Fe;-32.9912336;-60.7588733;Rolled non-flat products ;650000;;0.207692308;Electric Arc Furnace (EAF);2021;Estimated. See sources and methodology.;0.17746
ALUAR SA - GENERADOR;Aluar;Fossil Thermal Power Plant;210445;Industrial point source;Puerto Madryn;Chubut;-42.7438848;-65.04839927;Electrical energy;189;;;;2021;CAMMESA;1.94819592
ARCOR MARIO SEVESO ARROYITO;;Fossil Thermal Power Plant;93267;Industrial point source;;Córdoba;-31.42055514;-63.03885915;;;;;;2021;CAMMESA;1.94819592
C. TERMICAS MENDOZA PLUS;;Fossil Thermal Power Plant;788702;Industrial point source;;Mendoza;-33.02787784;-68.89874272;;288.466;;;;2021;CAMMESA;1.94819592
C. TERMICAS MENDOZA SA;;Fossil Thermal Power Plant;297745;Industrial point source;;Mendoza;;;;203.77;;;;2021;CAMMESA;2.095930315
C.COSTA ATLANTICA;;Fossil Thermal Power Plant;509899;Industrial point source;;Buenos Aires;-36.30875528;-56.63689546;;455.88;;;;2021;CAMMESA;2.347655665
C.T. AES PARANA;;Fossil Thermal Power Plant;1717893;Industrial point source;;Buenos Aires;-32.97092569;-60.1538909;;869.51;;;;2021;CAMMESA;2.240478703
C.T. AGUA DEL CAJON;;Fossil Thermal Power Plant;1108638;Industrial point source;Neuquén;Neuquén;-38.93531878;-68.35746075;Electrical energy;184.4;;;;2021;CAMMESA;1.94819592
C.T. ALMIRANTE BROWN;Excell Power S.R.L.;Fossil Thermal Power Plant;7094;Industrial point source;Burazco;Buenos Aires;-34.83766034;-58.40568505;Electrical energy;25;;;;2021;CAMMESA;2.697170552
C.T. LOMA DE LA LATA S.A.;C.T. LOMA DE LA LATA S.A.;Fossil Thermal Power Plant;1779653;Industrial point source;Neuquén;Neuquén;-38.51178974;-68.60637825;Electrical energy;675;;;;2021;CAMMESA;1.94819592
C.T. PATAGONICAS SA;CENTRALES TERMICAS PATAGONICAS S.A.;Fossil Thermal Power Plant;27712;Industrial point source;Comodoro Rivadavia;Chubut;-45.81390612;-67.44427712;Electrical energy;160;;;;2021;CAMMESA;1.94819592
C.T. SALTA (TERMOANDES);AES;Fossil Thermal Power Plant;1004183;Industrial point source;Cobos;Salta;-24.74271171;-65.05151496;Electrical energy;642.7;;;;2021;CAMMESA;1.94819592
C.TERMICA ALTO VALLE;;Fossil Thermal Power Plant;198282;Industrial point source;Neuquén;Neuquén;-38.95161594;-68.02174487;Electrical energy;96;;;;2021;CAMMESA;1.94819592
C.TERMICA GUEMES S.A.;;Fossil Thermal Power Plant;139062;Industrial point source;;Salta;-24.75718674;-65.34767737;;261;;;;2021;CAMMESA;1.94819592
C.TERMICA SAN NICOLAS;AES;Fossil Thermal Power Plant;2158549;Industrial point source;San Nicolás de Los Arroyos;Buenos Aires;-33.35809074;-60.17476179;Electrical energy;675;;;;2021;CAMMESA;2.382121966
C.TERMICA SORRENTO;;Fossil Thermal Power Plant;20821;Industrial point source;;Santa Fe;-32.90624373;-60.68192663;;217;;;;2021;CAMMESA;2.356224249
CAPEX S.A. AUTOGENERADOR;;Fossil Thermal Power Plant;1075683;Industrial point source;;Neuquén;-38.93576108;-68.35797573;;477.1;;;;2021;CAMMESA;1.94819592
CENTRAL DIQUE S.A.;CENTRAL DIQUE S.A.;Fossil Thermal Power Plant;478;Industrial point source;Ensenada;Buenos Aires;-34.88987358;-57.93335436;Electrical energy;55;;;;2021;CAMMESA;1.94819592
CENTRAL DOCK SUD;Central Dock Sud;Fossil Thermal Power Plant;2101890;Industrial point source;Dock Sud;Buenos Aires;-34.65327861;-58.34352059;Electrical energy;869.5;;;;2021;CAMMESA;2.114634727
CENTRAL PIEDRA BUENA S.A.;Pampa Energía;Fossil Thermal Power Plant;243763;Industrial point source;Ingeniero White;Buenos Aires;-38.78482523;-62.25607271;Electrical energy;;;;;2021;CAMMESA;2.40722779
CENTRAL PUERTO SA;Central Puerto S.A.;Fossil Thermal Power Plant;3481800;Industrial point source;Buenos Aires;Buenos Aires;-34.56347462;-58.385489;Electrical energy;1777;;;;2021;CAMMESA;2.41650066
CENTRAL TÉRMICA LOMITA AUTOG.;;Fossil Thermal Power Plant;59300;Industrial point source;;Neuquén;;;;;;;;2021;CAMMESA;1.94819592
CENTRAL TERMICA PIQUIRENDA;Pampa Energía;Fossil Thermal Power Plant;25963;Industrial point source;Piquirenda;Salta;-22.35004604;-63.76700533;Electrical energy;30.4;;;;2021;CAMMESA;1.94819592
COOP. MNO. MORENO BS. AS.GENER;;Fossil Thermal Power Plant;668;Industrial point source;;Buenos Aires;;;;7;;;;2021;CAMMESA;2.697170552
CT 9 de JULIO C Cost ATLANTICA;Centrales de la Costa Atlántica S.A.;Fossil Thermal Power Plant;221258;Industrial point source;Mar del Plata;Buenos Aires;-38.04949391;-57.54553583;Electrical energy;94.74;;;;2021;CAMMESA;2.247785773
CT ACONCAGUA ENERGÍA AUTOGENER;;Fossil Thermal Power Plant;17;Industrial point source;;Mendoza;;;;;;;;2021;CAMMESA;1.94819592
CT ALEM - AGGREKO;;Fossil Thermal Power Plant;35577;Industrial point source;;Misiones;-27.55844357;-55.28616792;;15;;;;2021;CAMMESA;2.697170552
CT ANCHORIS - METHAX;EMESA;Fossil Thermal Power Plant;50825;Industrial point source;Tupungato;Mendoza;-33.3133564;-68.89151146;Electrical energy;40;;;;2021;CAMMESA;1.94819592
CT AÑATUYA - SULLAIR;;Fossil Thermal Power Plant;11557;Industrial point source;Añatuya;Santiago del Estero;-28.44584131;-62.85560319;Electrical energy;19.2;;;;2021;CAMMESA;2.697170552
CT AÑATUYA II - SULLAIR;;Fossil Thermal Power Plant;4840;Industrial point source;Añatuya;Santiago del Estero;-28.44584131;-62.85560319;Electrical energy;11.5;;;;2021;CAMMESA;2.697170552
CT ARISTOBU.DEL VALLE-SOENERGY;;Fossil Thermal Power Plant;24495;Industrial point source;Aristóbulo del Valle;Misiones;-27.09123769;-54.86344241;Electrical energy;15;;;;2021;CAMMESA;2.697170552
CT ARRECIFES-AGGREKO;;Fossil Thermal Power Plant;8081;Industrial point source;;Buenos Aires;;;;20;;;;2021;CAMMESA;2.697170552
CT BANDERA SgoEstero - ENARSA;;Fossil Thermal Power Plant;4539;Industrial point source;;Santiago del Estero;-27.79292098;-62.15515275;;32.5;;;;2021;CAMMESA;2.697170552
CT BARILOCHE;;Fossil Thermal Power Plant;1392;Industrial point source;;Río Negro;-41.0854318;-71.35591366;;20;;;;2021;CAMMESA;2.697170552
CT BARKER CIERRE CC;;Fossil Thermal Power Plant;636102;Industrial point source;Benito Juárez;Buenos Aires;-37.54858826;-59.4506657;Electrical energy;105.85;;;;2021;CAMMESA;2.230277275
CT BARRAGAN - ENARSA;ENARSA;Fossil Thermal Power Plant;319657;Industrial point source;Ensenada;Buenos Aires;-34.85965751;-57.95577403;Electrical energy;567;;;;2021;CAMMESA;2.266510139
CT BARRANQUERAS Chaco;;Fossil Thermal Power Plant;3373;Industrial point source;;Chaco;-27.48591444;-58.93260519;;21.7;;;;2021;CAMMESA;2.697170552
CT BELL VILLE - SULLAIR;SULLAIR ARGENTINA S.A.;Fossil Thermal Power Plant;6459;Industrial point source;Bell Ville;Córdoba;-32.61039562;-62.68583225;Electrical energy;15.6;;;;2021;CAMMESA;2.697170552
CT BRACHO CIERRE CC- Y-GEN S.A;;Fossil Thermal Power Plant;1242878;Industrial point source;;Tucumán;-26.99529044;-65.17017867;;199;;;;2021;CAMMESA;1.94819592
CT BRAGADO - EMGASUD;;Fossil Thermal Power Plant;7559;Industrial point source;;Buenos Aires;-34.81288221;-60.40005;;;;;;2021;CAMMESA;2.135439578
CT BRAGADO 2 - GENNEIA;Genneia;Fossil Thermal Power Plant;79138;Industrial point source;Bragado;Buenos Aires;-35.13651396;-60.43241426;Electrical energy;58.5;;;;2021;CAMMESA;2.251834284
CT BRAGADO 3 - GENNEIA;Genneia;Fossil Thermal Power Plant;92453;Industrial point source;Bragado;Buenos Aires;-35.13651396;-60.43241426;Electrical energy;61.2;;;;2021;CAMMESA;2.220550332
CT BRIGADIER LOPEZ;Central Puerto S.A.;Fossil Thermal Power Plant;64572;Industrial point source;Santa Fe;Santa Fe;-31.71284154;-60.77930021;Electrical energy;280;;;;2021;CAMMESA;2.322683236
CT CAIMANCITO -SULLAIR;;Fossil Thermal Power Plant;62571;Industrial point source;Libertador Gral San Martín;Jujuy;-23.73226891;-64.61399317;Electrical energy;91;;;;2021;CAMMESA;1.94819592
CT CAÑADA DE GOMEZ - SECCO;Secco;Fossil Thermal Power Plant;105744;Industrial point source;Cañada de Gómez;Santa Fe;-32.78187222;-61.41843352;Electrical energy;67.232;;;;2021;CAMMESA;2.671149063
CT CAPITAN SARMIENTO - SECCO;Secco;Fossil Thermal Power Plant;10205;Industrial point source;;Buenos Aires;-34.16216899;-59.79574076;;5;;;;2021;CAMMESA;2.697170552
CT CASTELLI - AGGREKO;;Fossil Thermal Power Plant;9440;Industrial point source;;Chaco;-25.94900872;-60.61986966;;15;;;;2021;CAMMESA;2.697170552
CT CATAMARCA - SECCO;;Fossil Thermal Power Plant;10013;Industrial point source;;Catamarca;-28.4208082;-65.78776983;;19.2;;;;2021;CAMMESA;2.697170552
CT CERES - SECCO;;Fossil Thermal Power Plant;3924;Industrial point source;;Santa Fe;-29.87387756;-61.92317816;;18;;;;2021;CAMMESA;2.697170552
CT CHARATA - SULLAIR;;Fossil Thermal Power Plant;7334;Industrial point source;;Chaco;-27.20868003;-61.18225793;;19.8;;;;2021;CAMMESA;2.697170552
CT CHILECITO - SECCO;Secco;Fossil Thermal Power Plant;4810;Industrial point source;Chilecito;La Rioja;-29.15733701;-67.50746666;Electrical energy;10;;;;2021;CAMMESA;2.697170552
CT CIPOLLETI - AGGREKO;;Fossil Thermal Power Plant;501;Industrial point source;;Río Negro;-38.86486771;-68.03632495;;5;;;;2021;CAMMESA;2.697170552
CT COLON BS.AS - SULLAIR;;Fossil Thermal Power Plant;5222;Industrial point source;Colón;Buenos Aires;-33.73201213;-61.09709894;Electrical energy;15.3;;;;2021;CAMMESA;2.697170552
CT CORRIENTES - AGGREKO;;Fossil Thermal Power Plant;7204;Industrial point source;;Corrientes;-27.4710135;-58.80297303;;20;;;;2021;CAMMESA;2.697170552
CT EZEIZA ETAPA1 G MEDITERRANE;;Fossil Thermal Power Plant;56618;Industrial point source;Carlos Spegazzini;Buenos Aires;-34.90274362;-58.61692333;Electrical energy;102.1;;;;2021;CAMMESA;2.197854131
CT EZEIZA ETAPA2 G MEDITERRANE;;Fossil Thermal Power Plant;32456;Industrial point source;Carlos Spegazzini;Buenos Aires;-34.90274362;-58.61692333;Electrical energy;50;;;;2021;CAMMESA;2.197854131
CT FORMOSA - APR ENERGY;;Fossil Thermal Power Plant;5006;Industrial point source;;Formosa;-26.17579564;-58.20978419;;30;;;;2021;CAMMESA;2.697170552
CT GENERAL ROJO CIERRE CC;;Fossil Thermal Power Plant;619957;Industrial point source;San Nicolás de Los Arroyos;Buenos Aires;-33.45541478;-60.28090222;Electrical energy;107.65;;;;2021;CAMMESA;2.314715421
CT GOYA - SECCO;;Fossil Thermal Power Plant;4754;Industrial point source;Goya;Corrientes;-29.15821641;-59.27345715;Electrical energy;13;;;;2021;CAMMESA;2.697170552
CT GRAL. VILLEGAS - AGGREKO;;Fossil Thermal Power Plant;14209;Industrial point source;;Buenos Aires;-35.0345172;-62.99797308;;23.5;;;;2021;CAMMESA;2.697170552
CT INDEPEND. ETAPA1 G MEDITERR;Grupo Albanesi;Fossil Thermal Power Plant;10088;Industrial point source;San Miguel de Tucumán;Tucumán;-26.866966;-65.22182861;Electrical energy;49.6;;;;2021;CAMMESA;2.239463833
CT INDEPEND. ETAPA2 G MEDITERR;Grupo Albanesi;Fossil Thermal Power Plant;9463;Industrial point source;San Miguel de Tucumán;Tucumán;-26.866966;-65.22182861;Electrical energy;49;;;;2021;CAMMESA;2.239463833
CT ING JUAREZ - SECCO;;Fossil Thermal Power Plant;2692;Industrial point source;Ingeniero Juárez;Formosa;-23.90901687;-61.83150245;Electrical energy;4;;;;2021;CAMMESA;2.697170552
CT INTA CATAMARCA - SECCO;;Fossil Thermal Power Plant;3559;Industrial point source;;Catamarca;;;;7;;;;2021;CAMMESA;2.697170552
CT ISLA VERDE - AGGREKO;;Fossil Thermal Power Plant;7670;Industrial point source;;Córdoba;-33.24178127;-62.39381422;;24.5;;;;2021;CAMMESA;2.697170552
CT ITATI - TURBODISEL;;Fossil Thermal Power Plant;1498;Industrial point source;;Corrientes;-27.31887856;-58.23844011;;7.2;;;;2021;CAMMESA;2.697170552
CT JUNIN;;Fossil Thermal Power Plant;14479;Industrial point source;;Buenos Aires;-34.55914506;-60.92796994;;22;;;;2021;CAMMESA;2.697170552
CT LA PAZ Entre Rios - ENARSA;;Fossil Thermal Power Plant;2674;Industrial point source;;Entre Ríos;-30.74961413;-59.60149196;;10.8;;;;2021;CAMMESA;2.697170552
CT LA PLATA - SULLAIR;;Fossil Thermal Power Plant;14048;Industrial point source;San Carlos;Buenos Aires;-34.9338664;-58.01640058;Electrical energy;40.4;;;;2021;CAMMESA;2.697170552
CT LA RIOJA - SECCO;;Fossil Thermal Power Plant;7688;Industrial point source;;La Rioja;-29.35906756;-66.83395555;;19.2;;;;2021;CAMMESA;2.697170552
CT LA RIOJA SUR- SECCO;;Fossil Thermal Power Plant;3506;Industrial point source;;La Rioja;-29.42128793;-66.82983567;;10;;;;2021;CAMMESA;2.697170552
CT LAGUNA BLANCA - SECCO;;Fossil Thermal Power Plant;4457;Industrial point source;Laguna Blanca;Formosa;-25.12695055;-58.25915073;Electrical energy;7;;;;2021;CAMMESA;2.697170552
CT LAS ARMAS II - EMGASUD;;Fossil Thermal Power Plant;606;Industrial point source;;Buenos Aires;-37.07639032;-57.81773168;;;;;;2021;CAMMESA;1.94819592
CT LAS PALMAS 2 - ARAUCARIA;;Fossil Thermal Power Plant;100667;Industrial point source;;Buenos Aires;-34.07978591;-59.12506332;;212.2;;;;2021;CAMMESA;2.274220172
CT LAS PALMAS -TURBODISEL;;Fossil Thermal Power Plant;543;Industrial point source;;Chaco;-27.03271109;-58.70358987;;7.2;;;;2021;CAMMESA;2.697170552
CT LIBERTADOR GSM - SULLAIR;;Fossil Thermal Power Plant;3331;Industrial point source;;Jujuy;-23.73223944;-64.61405755;;15.26;;;;2021;CAMMESA;2.697170552
CT LINCOLN;;Fossil Thermal Power Plant;5898;Industrial point source;Lincoln;Buenos Aires;-34.85716731;-61.52070383;Electrical energy;15;;;;2021;CAMMESA;2.697170552
CT LOBOS BS.AS - SULLAIR;;Fossil Thermal Power Plant;23328;Industrial point source;;Buenos Aires;-35.18956801;-59.07850788;;19.68;;;;2021;CAMMESA;2.697170552
CT LOMA CAMPANA 1 -YPF;;Fossil Thermal Power Plant;93992;Industrial point source;;Neuquén;-37.92686761;-68.71536317;;105;;;;2021;CAMMESA;1.94819592
CT LOMA CAMPANA 2 -Y-GEN ELECT;;Fossil Thermal Power Plant;164946;Industrial point source;;Neuquén;-37.92686761;-68.71536317;;107;;;;2021;CAMMESA;1.94819592
CT LOMA DE LA LATA II(NEUQUEN);;Fossil Thermal Power Plant;228867;Industrial point source;;Neuquén;-38.51180658;-68.6063997;;105;;;;2021;CAMMESA;1.94819592
CT LUJAN II - ARAUCARIA ENERGY;;Fossil Thermal Power Plant;68363;Industrial point source;;Buenos Aires;-34.55594176;-59.03483213;;127.3;;;;2021;CAMMESA;2.013324149
CT MAGDALENA - APR ENERGY;;Fossil Thermal Power Plant;4433;Industrial point source;;Buenos Aires;-35.100081;-57.483894;;25;;;;2021;CAMMESA;2.697170552
CT MATHEU II - APR ENERGY;;Fossil Thermal Power Plant;1875;Industrial point source;;Buenos Aires;-34.39580865;-58.83489199;;229;;;;2021;CAMMESA;1.94819592
CT MIRAMAR I - ENERGYST;;Fossil Thermal Power Plant;23587;Industrial point source;;Buenos Aires;-38.24736618;-57.82379749;;20;;;;2021;CAMMESA;2.697170552
CT ORAN - SECCO;;Fossil Thermal Power Plant;3717;Industrial point source;;Salta;-23.1386542;-64.31143463;;15;;;;2021;CAMMESA;2.697170552
CT PARQUE INDUSTR.CATAM-SECCO;;Fossil Thermal Power Plant;8843;Industrial point source;;Catamarca;-28.52995995;-65.80098711;;15;;;;2021;CAMMESA;2.697170552
CT PASO LA PATRIA-TURBODISEL;;Fossil Thermal Power Plant;1189;Industrial point source;;Corrientes;-27.32287605;-58.56667495;;7.2;;;;2021;CAMMESA;2.697170552
CT PEREZ - SECCO;;Fossil Thermal Power Plant;109776;Industrial point source;;Santa Fe;-33.01941125;-60.82494636;;81.088;;;;2021;CAMMESA;2.654963545
