Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provinc1028453ia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source
CT GOYA - SECCO;;Thermal power plant;4754;Industrial point source;Goya;Corrientes;-29.15821641;-59.27345715;Electrical energy;13;;;;2021;CAMMESA;2.697170552;6507;1762.561;;;
CT GRAL. VILLEGAS - AGGREKO;;Thermal power plant;14209;Industrial point source;;Buenos Aires;-35.0345172;-62.99797308;;23.5;;;;2021;CAMMESA;2.697170552;19593;5267.939;;;
CT INDEPEND. ETAPA1 G MEDITERR;Grupo Albanesi;Thermal power plant;10088;Industrial point source;San Miguel de Tucumán;Tucumán;-26.866966;-65.22182861;Electrical energy;49.6;;;;2021;CAMMESA;2.239463833;15988;4545.69;;;
CT INDEPEND. ETAPA2 G MEDITERR;Grupo Albanesi;Thermal power plant;9463;Industrial point source;San Miguel de Tucumán;Tucumán;-26.866966;-65.22182861;Electrical energy;49;;;;2021;CAMMESA;2.239463833;15214;4308.239;;;
CT ING JUAREZ - SECCO;;Thermal power plant;2692;Industrial point source;Ingeniero Juárez;Formosa;-23.90901687;-61.83150245;Electrical energy;4;;;;2021;CAMMESA;2.697170552;3655;998.069;;;
CT INTA CATAMARCA - SECCO;;Thermal power plant;3559;Industrial point source;;Catamarca;;;;7;;;;2021;CAMMESA;2.697170552;4967;1319.657;;;
CT ISLA VERDE - AGGREKO;;Thermal power plant;7670;Industrial point source;;Córdoba;-33.24178127;-62.39381422;;24.5;;;;2021;CAMMESA;2.697170552;10449;2843.861;;;
CT ITATI - TURBODISEL;;Thermal power plant;1498;Industrial point source;;Corrientes;-27.31887856;-58.23844011;;7.2;;;;2021;CAMMESA;2.697170552;2091;555.42;;;
CT JUNIN;;Thermal power plant;14479;Industrial point source;;Buenos Aires;-34.55914506;-60.92796994;;22;;;;2021;CAMMESA;2.697170552;20542;5368.06;;;
CT LA PAZ Entre Rios - ENARSA;;Thermal power plant;2674;Industrial point source;;Entre Ríos;-30.74961413;-59.60149196;;10.8;;;;2021;CAMMESA;2.697170552;3634;991.48;;;
CT LA PLATA - SULLAIR;;Thermal power plant;14048;Industrial point source;San Carlos;Buenos Aires;-34.9338664;-58.01640058;Electrical energy;40.4;;;;2021;CAMMESA;2.697170552;19966;5208.314;;;
CT LA RIOJA - SECCO;;Thermal power plant;7688;Industrial point source;;La Rioja;-29.35906756;-66.83395555;;19.2;;;;2021;CAMMESA;2.697170552;10750;2850.349;;;
CT LA RIOJA SUR- SECCO;;Thermal power plant;3506;Industrial point source;;La Rioja;-29.42128793;-66.82983567;;10;;;;2021;CAMMESA;2.697170552;4956;1299.976;;;
CT LAGUNA BLANCA - SECCO;;Thermal power plant;4457;Industrial point source;Laguna Blanca;Formosa;-25.12695055;-58.25915073;Electrical energy;7;;;;2021;CAMMESA;2.697170552;6052;1652.415;;;
CT LAS ARMAS II - EMGASUD;;Thermal power plant;606;Industrial point source;;Buenos Aires;-37.07639032;-57.81773168;;;;;;2021;CAMMESA;1.94819592;964;310.975;;;
CT LAS PALMAS 2 - ARAUCARIA;;Thermal power plant;100667;Industrial point source;;Buenos Aires;-34.07978591;-59.12506332;;212.2;;;;2021;CAMMESA;2.274220172;166580;47527.617;;;
CT LAS PALMAS -TURBODISEL;;Thermal power plant;543;Industrial point source;;Chaco;-27.03271109;-58.70358987;;7.2;;;;2021;CAMMESA;2.697170552;701;201.361;;;
CT LIBERTADOR GSM - SULLAIR;;Thermal power plant;3331;Industrial point source;;Jujuy;-23.73223944;-64.61405755;;15.26;;;;2021;CAMMESA;2.697170552;4567;1234.867;;;
CT LINCOLN;;Thermal power plant;5898;Industrial point source;Lincoln;Buenos Aires;-34.85716731;-61.52070383;Electrical energy;15;;;;2021;CAMMESA;2.697170552;8336;2186.752;;;
CT LOBOS BS.AS - SULLAIR;;Thermal power plant;23328;Industrial point source;;Buenos Aires;-35.18956801;-59.07850788;;19.68;;;;2021;CAMMESA;2.697170552;32079;8649.169;;;
CT LOMA CAMPANA 1 -YPF;;Thermal power plant;93992;Industrial point source;;Neuquén;-37.92686761;-68.71536317;;105;;;;2021;CAMMESA;1.94819592;200046;48245.62;;;
CT LOMA CAMPANA 2 -Y-GEN ELECT;;Thermal power plant;164946;Industrial point source;;Neuquén;-37.92686761;-68.71536317;;107;;;;2021;CAMMESA;1.94819592;346985;84666.151;;;
CT LOMA DE LA LATA II(NEUQUEN);;Thermal power plant;228867;Industrial point source;;Neuquén;-38.51180658;-68.6063997;;105;;;;2021;CAMMESA;1.94819592;492685;117476.623;;;
CT LUJAN II - ARAUCARIA ENERGY;;Thermal power plant;68363;Industrial point source;;Buenos Aires;-34.55594176;-59.03483213;;127.3;;;;2021;CAMMESA;2.013324149;141117;35047.513;;;
CT MAGDALENA - APR ENERGY;;Thermal power plant;4433;Industrial point source;;Buenos Aires;-35.100081;-57.483894;;25;;;;2021;CAMMESA;2.697170552;5861;1643.52;;;
CT MATHEU II - APR ENERGY;;Thermal power plant;1875;Industrial point source;;Buenos Aires;-34.39580865;-58.83489199;;229;;;;2021;CAMMESA;1.94819592;3070;962.4;;;
CT MIRAMAR I - ENERGYST;;Thermal power plant;23587;Industrial point source;;Buenos Aires;-38.24736618;-57.82379749;;20;;;;2021;CAMMESA;2.697170552;33150;8745.262;;;
CT ORAN - SECCO;;Thermal power plant;3717;Industrial point source;;Salta;-23.1386542;-64.31143463;;15;;;;2021;CAMMESA;2.697170552;5161;1378.262;;;
CT PARQUE INDUSTR.CATAM-SECCO;;Thermal power plant;8843;Industrial point source;;Catamarca;-28.52995995;-65.80098711;;15;;;;2021;CAMMESA;2.697170552;12452;3278.591;;;
CT PASO LA PATRIA-TURBODISEL;;Thermal power plant;1189;Industrial point source;;Corrientes;-27.32287605;-58.56667495;;7.2;;;;2021;CAMMESA;2.697170552;1658;440.955;;;
CT PEREZ - SECCO;;Thermal power plant;109776;Industrial point source;;Santa Fe;-33.01941125;-60.82494636;;81.088;;;;2021;CAMMESA;2.654963545;174695;36541.714;;;
CT PIEDRABUENA MG(L.LATA);;Thermal power plant;173945;Industrial point source;;Buenos Aires;-38.03244943;-62.3371078;;100.02;;;;2021;CAMMESA;2.60588246;300504;65658.727;;;
CT PILAR - EPEC;;Thermal power plant;1055603;Industrial point source;;Córdoba;-31.66577634;-63.83191433;;466;;;;2021;CAMMESA;2.247785773;2334319;509620.85;;;
CT PILAR BS AS- PAMPA ENERGÍA;;Thermal power plant;187528;Industrial point source;;Buenos Aires;-34.2986356;-58.95101224;;100.398;;;;2021;CAMMESA;2.624673504;299260;62795.771;;;
CT PIRANE - SULLAIR;;Thermal power plant;10675;Industrial point source;;Formosa;-25.67861;-59.07556;;16.25;;;;2021;CAMMESA;2.697170552;14583;3957.876;;;
CT PRESIDENCIA ROCA;;Thermal power plant;1276;Industrial point source;;Chaco;-26.15352072;-59.60000813;;6;;;;2021;CAMMESA;2.697170552;1712;472.997;;;
CT RAFAELA - SECCO;;Thermal power plant;7300;Industrial point source;;Santa Fe;-31.25667;-61.52028;;19.2;;;;2021;CAMMESA;2.697170552;10246;2706.592;;;
CT REALICO - SECCO;;Thermal power plant;6721;Industrial point source;;La Pampa;-35.055;-64.24056;;24;;;;2021;CAMMESA;2.697170552;9378;2492.04;;;
CT RENOVA - ALBANESI ENERGIA;;Thermal power plant;457321;Industrial point source;;Santa Fe;-32.60348225;-60.79474192;;172;;;;2021;CAMMESA;2.168482577;1027889;229326.889;;;
CT RIO TERCERO II - SoENERGY;;Thermal power plant;30138;Industrial point source;;Córdoba;-32.16105961;-64.15478473;;60;;;;2021;CAMMESA;2.306401179;47055;12289.28;;;
CT ROCA SA;;Thermal power plant;502028;Industrial point source;;Río Negro;-38.64532632;-67.6716524;;193.13;;;;2021;CAMMESA;2.135439578;1150910;255981.834;;;
CT RUFINO Sta Fe - ENARSA;;Thermal power plant;8965;Industrial point source;;Santa Fe;-34.28871794;-62.66959238;;31.9;;;;2021;CAMMESA;2.697170552;12391;3323.711;;;
CT SAENZ PEÑA - APR ENERGY;;Thermal power plant;3654;Industrial point source;;Chaco;-26.81555556;-60.41138889;;20;;;;2021;CAMMESA;2.697170552;4769;1354.866;;;
CT SAENZ PEÑA II- AGGREKO;;Thermal power plant;4626;Industrial point source;;Chaco;-26.81477999;-60.41267637;;15;;;;2021;CAMMESA;2.697170552;6301;1715.205;;;
CT SALTO 2 - SoENERGY;;Thermal power plant;103648;Industrial point source;;Buenos Aires;-34.20426055;-60.24871635;;63;;;;2021;CAMMESA;2.306401179;160695;45390.578;;;
CT SAN MARTIN Chaco;;Thermal power plant;1320;Industrial point source;;Chaco;-26.55845431;-59.32413238;;15;;;;2021;CAMMESA;2.697170552;1616;489.423;;;
CT SAN PEDRO - CIERRE CC;;Thermal power plant;33804;Industrial point source;;Buenos Aires;-33.77667601;-59.72699232;;50.46;;;;2021;CAMMESA;1.94819592;62581;17351.202;;;
CT SAN PEDRO - SPI ENERGY SA;;Thermal power plant;46087;Industrial point source;;Buenos Aires;-33.77822014;-59.72715283;;108;;;;2021;CAMMESA;2.266510139;75572;21398.563;;;
CT SAN SALVADOR E.Rios -ENARSA;;Thermal power plant;1815;Industrial point source;;Entre Ríos;-31.60970051;-58.48874915;;10.8;;;;2021;CAMMESA;2.697170552;2521;672.832;;;
CT SAN VICENTE BsAs - ENARSA;;Thermal power plant;4595;Industrial point source;;Buenos Aires;-35.04344836;-58.32534848;;27.6;;;;2021;CAMMESA;2.697170552;5674;1703.651;;;
CT SANTA ROSA -TURBODISEL;;Thermal power plant;1988;Industrial point source;;Corrientes;-28.26247793;-58.12262641;;7.2;;;;2021;CAMMESA;2.697170552;2620;737.187;;;
CT TEREVINTOS - SECCO;;Thermal power plant;2652;Industrial point source;;Catamarca;-28.42876224;-65.78746942;;8;;;;2021;CAMMESA;2.697170552;3544;983.087;;;
CT TINOGASTA - SULLAIR;;Thermal power plant;4169;Industrial point source;;Catamarca;-28.04904452;-67.56608993;;15;;;;2021;CAMMESA;2.697170552;5665;1545.852;;;
CT VENADO TUERTO - SECCO;;Thermal power plant;7617;Industrial point source;;Santa Fe;-33.75246685;-61.99327364;;19.2;;;;2021;CAMMESA;2.697170552;10683;2823.928;;;
CT VIALE - AGGREKO;;Thermal power plant;4529;Industrial point source;;Entre Ríos;-31.89194;-60.01056;;10;;;;2021;CAMMESA;2.697170552;6436;1679.148;;;
CT VILLA ANGELA - AGGREKO;;Thermal power plant;4977;Industrial point source;;Chaco;-27.60214589;-60.74649601;;15;;;;2021;CAMMESA;2.697170552;6972;1845.371;;;
CT VILLA GESELL-CATLANT.;;Thermal power plant;333196;Industrial point source;;Buenos Aires;-37.24848426;-56.99724588;;80;;;;2021;CAMMESA;2.168482577;517298;162971.858;;;
CT VILLA MARIA CIERRE CC-UENSA;;Thermal power plant;630749;Industrial point source;;Córdoba;-32.42693676;-63.17188574;;105.1;;;;2021;CAMMESA;2.318567991;1388995;290221.922;;;
CT VILLA OCAMPO - SECCO;;Thermal power plant;32945;Industrial point source;;Santa Fe;-28.51609309;-59.34577171;;50.35;;;;2021;CAMMESA;2.934725729;49933;10566.42;;;
CT VUELTA DE OBLIGADO;;Thermal power plant;1829953;Industrial point source;;Santa Fe;-32.48882628;-60.79097087;;846.565;;;;2021;CAMMESA;2.306401179;4250341;836663.799;;;
CT ZAPPALORTO - APR ENERGY;;Thermal power plant;15249;Industrial point source;;Buenos Aires;-34.71869221;-58.73797554;;109.04;;;;2021;CAMMESA;2.152461729;22324;6878.147;;;
EDECAT GENERACION;;Thermal power plant;397;Industrial point source;;Catamarca;-28.19232818;-65.11339956;;4.8;;;;2021;CAMMESA;2.697170552;527;147.076;;;
EDELAR GENERACION;;Thermal power plant;18733;Industrial point source;;La Rioja;;;;19.48;;;;2021;CAMMESA;2.697170552;24364;6945.473;;;
EDEN GENERACION;;Thermal power plant;1627;Industrial point source;;Buenos Aires;-34.05179982;-58.92965791;;27.728;;;;2021;CAMMESA;2.697170552;2289;603.257;;;
ELECTROPATAGONIA-C.RIV-C.COMB.;;Thermal power plant;15137;Industrial point source;;Chubut;-45.79136316;-67.52324552;;63;;;;2021;CAMMESA;1.94819592;16175;7769.538;;;
EMP.DIS.S.ESTERO GENERACION;;Thermal power plant;4901;Industrial point source;;Santiago del Estero;;;;6.05;;;;2021;CAMMESA;2.697170552;6582;1817.095;;;
EMSA GENERACION;;Thermal power plant;10472;Industrial point source;;Misiones;;;;33.244;;;;2021;CAMMESA;2.697170552;13965;3882.422;;;
ENDESA COSTANERA SA;;Thermal power plant;2518331;Industrial point source;;Buenos Aires;-34.62334842;-58.34179385;;2303.6;;;;2021;CAMMESA;2.263968409;5724889;1247224.179;;;
ENERGIA DEL SUR S.A.;;Thermal power plant;226761;Industrial point source;;Chubut;-45.79337549;-67.51392216;;125.1;;;;2021;CAMMESA;1.94819592;439211;116395.179;;;
EPEC GENERACION;;Thermal power plant;15814;Industrial point source;;Córdoba;;;;275.482;;;;2021;CAMMESA;2.181070385;14381;7371.839;;;
GEN.MEDITERRANEA (CONT.PLUS);;Thermal power plant;36744;Industrial point source;;Córdoba;-33.15913174;-64.36424725;;120;;;;2021;CAMMESA;2.197854131;60177;18263.47;;;
GEN.MEDITERRANEA GRUPO 5;;Thermal power plant;27675;Industrial point source;;Córdoba;-33.15913174;-64.36424725;;60;;;;2021;CAMMESA;2.197854131;46103;13805.841;;;
GENELBA - PETROBRAS;;Thermal power plant;1898589;Industrial point source;;Buenos Aires;-34.9038311;-58.73254676;;684.4;;;;2021;CAMMESA;1.94819592;4975073;974537.081;;;
GENELBA - RES.287;;Thermal power plant;1396334;Industrial point source;;Buenos Aires;-34.9038311;-58.73254676;;381.19;;;;2021;CAMMESA;1.94819592;3618613;716731.648;;;
GENERACION FRIAS S.A.;;Thermal power plant;15755;Industrial point source;;Santiago del Estero;-28.56386859;-65.12249001;;60;;;;2021;CAMMESA;2.269185048;25683;6950.312;;;
GENERACION INDEPENDENCIA S.A.;;Thermal power plant;28961;Industrial point source;;Tucumán;-26.86672994;-65.22196012;;120;;;;2021;CAMMESA;2.272076842;41546;12845.301;;;
GENERACION LA BANDA S.A.;;Thermal power plant;2514;Industrial point source;;Santiago del Estero;-27.7529612;-64.26512026;;26;;;;2021;CAMMESA;2.12103622;2455;1247.574;;;
GENERACION MEDITERRANEA;;Thermal power plant;6470;Industrial point source;;Córdoba;-32.94821426;-64.37649144;;68;;;;2021;CAMMESA;2.197854131;9010;2662.942;;;
GENERACION MEDITERRANEA 220;;Thermal power plant;31381;Industrial point source;;Córdoba;-32.94821426;-64.37649144;;94.961;;;;2021;CAMMESA;2.2923194;49554;13971.894;;;
GENERACION RIOJANA SA;;Thermal power plant;13132;Industrial point source;;La Rioja;-29.38221469;-66.83430162;;88;;;;2021;CAMMESA;2.315874376;17840;5630.726;;;
GENERADORA Córdoba S.A.;;Thermal power plant;1537;Industrial point source;;Córdoba;-32.13195934;-64.15615033;;26;;;;2021;CAMMESA;2.381812812;1216;601.5;;;
GENERADORA ELEC.Tucumán SA;;Thermal power plant;9198;Industrial point source;;Tucumán;-26.99427143;-65.16588094;;232;;;;2021;CAMMESA;1.94819592;13382;4721.537;;;
HIDROTERMICA SAN JUAN;;Thermal power plant;6068;Industrial point source;;San Juan;-31.51232265;-68.53794739;;30;;;;2021;CAMMESA;2.152461729;5565;2942.521;;;
LA PLATA COGENERACION SA;;Thermal power plant;339665;Industrial point source;;Buenos Aires;-34.88934876;-57.92261647;;128;;;;2021;CAMMESA;1.94819592;728404;174348.72;;;
LEDESMA SAAI;;Thermal power plant;7544;Industrial point source;;Jujuy;-23.82178298;-64.78451309;;;;;;2021;CAMMESA;1.94819592;11617;3872.434;;;
LUJAN DE CUYO COGENERAC.PUERTO;;Thermal power plant;265976;Industrial point source;;Mendoza;-33.05228875;-68.97986675;;95.32;;;;2021;CAMMESA;1.94819592;722978;136524.249;;;
MOLINOS AGRO AG.(Ex.Mol Rio P);;Thermal power plant;222;Industrial point source;;Santa Fe;;;;;;;;2021;CAMMESA;1.94819592;669;114.166;;;
MOTOGENERADORES COSTANERA;;Thermal power plant;47985;Industrial point source;;Buenos Aires;-34.62294757;-58.34179446;;35.6;;;;2021;CAMMESA;2.922222825;70060;15166.452;;;
NIDERA SAFORCADA-Junin;;Thermal power plant;20;Industrial point source;;Buenos Aires;-34.58607819;-34.58607819;;;;;;2021;CAMMESA;1.94819592;12;10.517;;;
PAMPA ENERGIA SA;;Thermal power plant;78724;Industrial point source;;Salta;-24.68842844;-65.04387511;;295.25;;;;2021;CAMMESA;1.94819592;161618;40408.794;;;
REFINERIA LA PLATA AUTOG;;Thermal power plant;10998;Industrial point source;;Buenos Aires;-34.88980716;-57.92284166;;;;;;2021;CAMMESA;1.94819592;24206;5645.254;;;
SHELL CAPSA PTA. DOCK SUD;;Thermal power plant;25501;Industrial point source;;Buenos Aires;-34.65330519;-58.34357618;;;;;;2021;CAMMESA;1.94819592;36188;13089.509;;;
SIDERAR PTA. IND. SAN NICOLAS;;Thermal power plant;31;Industrial point source;;Buenos Aires;-33.35478022;-60.1730117;;;;;;2021;CAMMESA;1.94819592;48;16.155;;;
SINOPEC Arg. - El Huemul;;Thermal power plant;29407;Industrial point source;;Santa Cruz;-49.33023006;-72.88361232;;;;;;2021;CAMMESA;1.94819592;58538;15094.599;;;
SINOPEC Arg. - Meseta Espinosa;;Thermal power plant;13683;Industrial point source;;Santa Cruz;;;;;;;;2021;CAMMESA;1.94819592;28222;7023.64;;;
SOLALBAN ENERGIA SA;;Thermal power plant;42405;Industrial point source;;Buenos Aires;-38.78541148;-62.25754249;;;;;;2021;CAMMESA;1.94819592;72739;21766.064;;;
TERMINAL 6 COGENERACION PUERTO;;Thermal power plant;209988;Industrial point source;;Santa Fe;-32.66237097;-60.74916497;;380.04;;;;2021;CAMMESA;2.210337041;463298;103919.015;;;
TERMOELE. JOSE SAN MARTIN S.A;;Thermal power plant;2045982;Industrial point source;;Santa Fe;-32.57020631;-60.79050355;;865.14;;;;2021;CAMMESA;2.297717415;4913414;929849.429;;;
TERMOELECTRICA GUILLERMO BROWN;;Thermal power plant;1021465;Industrial point source;;Buenos Aires;-38.68206102;-62.42135034;;582.6;;;;2021;CAMMESA;2.236263086;1795155;491937.285;;;
TERMOELECTRICA M.BELGRANO S.A.;;Thermal power plant;2150020;Industrial point source;;Buenos Aires;-34.14974236;-59.00582295;;873;;;;2021;CAMMESA;2.236263086;5630198;1054379.651;;;
YAC.ENTRE LOMAS AUTOGENERADOR;;Thermal power plant;27680;Industrial point source;;Río Negro;-38.13400181;-68.00363319;;;;;;2021;CAMMESA;1.94819592;55278;14207.882;;;
YPF Autogenerador Pza. Huincul;;Thermal power plant;161867;Industrial point source;;Neuquén;-38.92994561;-69.16904786;;;;;;2021;CAMMESA;1.94819592;229589;83085.412;;;
YPF CT MANANTIALES BEHR II AG;;Thermal power plant;8767;Industrial point source;;Chubut;-45.63426933;-67.80866884;;;;;;2021;CAMMESA;1.94819592;20377;4499.982;;;
YPF EL TREBOL CT MANANT. BEHR;;Thermal power plant;6;Industrial point source;;Chubut;-45.67203528;-67.75657658;;;;;;2021;CAMMESA;1.94819592;12;3.117;;;
YPF ENERGÍA ELECTR.ex PLUSPETG;;Thermal power plant;1400041;Industrial point source;;Tucumán;;;;829;;;;2021;CAMMESA;1.94819592;3271615;718634.749;;;
YPF LA PLATA COGENERACION;;Thermal power plant;228277;Industrial point source;;Buenos Aires;-34.89017736;-57.92279843;;90.2;;;;2021;CAMMESA;2.135439578;592649;116354.528;;;
YPF LOS PERALES AUTOG;;Thermal power plant;68352;Industrial point source;;Santa Cruz;-46.1958354;-69.26507537;;;;;;2021;CAMMESA;1.94819592;107575;35084.857;;;
YPF YAC P.HERNANDEZ AUTOG;;Thermal power plant;26;Industrial point source;;Neuquén;-37.29578133;-69.06655773;;;;;;2021;CAMMESA;1.94819592;47;13.337;;;
BIOGAS CT AVELLANEDA SECCO;;Biogas Power Plant;41391;Biogenic point source;;Santa Fe;-29.1177703;-59.64047481;Electrical energy;6.3;;;;2022;CAMMESA/Bio4;18;;;;;
CENTRAL BIOELECTRICA R.CUARTO1;;Biogas Power Plant;13140;Biogenic point source;;Córdoba;-33.17984121;-64.3831869;Electrical energy;2;;;;2022;CAMMESA/Bio4;18;;;;;
C.BIOELECT.R.CUARTO1 REN2;;Biogas Power Plant;10249.2;Biogenic point source;;Córdoba;-33.17824283;-64.37979659;Electrical energy;1.56;;;;2022;CAMMESA/Bio4;18;;;;;
C.BIOELECT.R.CUARTO2 REN1;;Biogas Power Plant;7884;Biogenic point source;;Córdoba;-33.18287626;-64.38488206;Electrical energy;1.2;;;;2022;CAMMESA/Bio4;18;;;;;
C.BIOELECT.R.CUARTO2 REN2;;Biogas Power Plant;7884;Biogenic point source;;Córdoba;-33.18400764;-64.38492497;Electrical energy;1.2;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG CITRUSVIL-ALCOVIL;;Biogas Power Plant;19710;Biogenic point source;;Tucumán;-26.84580608;-65.13499577;Electrical energy;3;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS RS CT ENSENADA SECCO;;Biogas Power Plant;34821;Biogenic point source;;Buenos Aires;-34.86081282;-57.96314619;Electrical energy;5.3;;;;2022;CAMMESA/Bio4;18;;;;;
CTBG GENERAL ALVEAR;;Biogas Power Plant;6570;Biogenic point source;;Buenos Aires;-36.01532605;-60.10616456;Electrical energy;1;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG GIGENA I;;Biogas Power Plant;7884;Biogenic point source;;Córdoba;-32.78552086;-64.19518873;Electrical energy;1.2;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG JUSTO DARACT;;Biogas Power Plant;6570;Biogenic point source;;San Luis;-33.9234622;-65.15093963;Electrical energy;1;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG PACUCA BIO ENERGÍA;;Biogas Power Plant;6570;Biogenic point source;;Buenos Aires;-35.38242174;-59.44253713;Electrical energy;1;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG PERGAMINO;;Biogas Power Plant;15768;Biogenic point source;;Buenos Aires;-33.92388171;-60.53821415;Electrical energy;2.4;;;;2022;CAMMESA/Bio4;18;;;;;
C.T.SAN MARTIN NORTE 3A;;Biogas Power Plant;33507;Biogenic point source;;Buenos Aires;-34.5315305;-58.6087694;Electrical energy;5.1;;;;2022;CAMMESA/Bio4;18;;;;;
CT SAN MIGUEL NORTE III-ENARSA;;Biogas Power Plant;75555;Biogenic point source;;Buenos Aires;-34.52484812;-58.61664438;Electrical energy;11.5;;;;2022;CAMMESA/Bio4;18;;;;;
ENERGIA AGRO S.A.U;;Biogas Power Plant;9296.55;Biogenic point source;;Santa Fe;-34.18229245;-62.05263989;Electrical energy;1.415;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG TIGONBU;;Biogas Power Plant;13140;Biogenic point source;;San Luis;-34.7468824;-65.24745477;Electrical energy;2;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG VILLA DEL ROS. CGY;;Biogas Power Plant;6570;Biogenic point source;;Córdoba;-31.57330076;-63.55084309;Electrical energy;1;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG VENADO TUERTO;;Biogas Power Plant;13797;Biogenic point source;;Santa Fe;-33.69118337;-62.04103717;Electrical energy;2.1;;;;2022;CAMMESA/Bio4;18;;;;;
BIO ENERGÍA YANQUETRUZ S.A.;;Biogas Power Plant;9855;Biogenic point source;;San Luis;-33.3801343;-65.58307536;Electrical energy;1.5;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG ENRECO;;Biogas Power Plant;13140;Biogenic point source;;Córdoba;-33.41661903;-62.48488564;Electrical energy;2;;;;2022;CAMMESA/Bio4;18;;;;;
CTBG BIO ENERGÍA YANQUETRUZ II;;Biogas Power Plant;5256;Biogenic point source;;San Luis;-33.37826423;-65.56900085;Electrical energy;0.8;;;;2022;CAMMESA/Bio4;18;;;;;
CTBG BIO. SANTA CATALINA;;Biogas Power Plant;13140;Biogenic point source;;Córdoba;-33.17284854;-64.40235703;Electrical energy;2;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG AB ENERGÍA;;Biogas Power Plant;13140;Biogenic point source;;La Pampa;-37.7688202;-67.70917058;Electrical energy;2;;;;2022;CAMMESA/Bio4;18;;;;;
CT BIOMASA MM BIOENERGÍA;;Biogas Power Plant;19710;Biogenic point source;;Misiones;-27.62976944;-55.43596538;Electrical energy;3;;;;2022;CAMMESA/Bio4;18;;;;;
CTBRS SAN MARTÍN NORTE III-D;;Biogas Power Plant;33507;Biogenic point source;;Buenos Aires;-34.52028708;-58.62735174;Electrical energy;5.1;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CTBG ARRE BEEF SA;;Biogas Power Plant;9855;Biogenic point source;;Buenos Aires;-33.76336033;-60.09148466;Electrical energy;1.5;;;;2022;CAMMESA/Bio4;18;;;;;
BIOGAS CT RESENER SA;;Biogas Power Plant;5256;Biogenic point source;;Buenos Aires;-38.69554547;-62.46569561;Electrical energy;0.8;;;;2022;CAMMESA/Bio4;18;;;;;
CTBG POLLOS SAN MATEO;;Biogas Power Plant;15768;Biogenic point source;;Córdoba;-31.19186042;-64.28926368;Electrical energy;2.4;;;;2022;CAMMESA/Bio4;18;;;;;
CTBG GENERAL VILLEGAS Ren 2;;Biogas Power Plant;8015.4;Biogenic point source;;Buenos Aires;-34.99825504;-62.99354435;Electrical energy;1.22;;;;2022;CAMMESA/Bio4;18;;;;;
YPF Plaza Huincul;YPF SA;Methanol;275370;Industrial point source;;Neuquén;-38.92880502;-69.18029111;Methanol;411000;;;Lurgi;2021;IPA/Inventario GHG;0.67;;;;;
Arauco General San Martin;Arauco Argentina S.A. ;Methanol;33500;Industrial point source;;Santa Fe;-32.65892352;-60.73470953;Methanol;50000;;;Lurgi;2021;IPA/Inventario GHG;0.67;;;;;
La Plata Refinery;YPF SA;Refinery;2224965.517;Industrial point source;;Buenos Aires;-34.88514453;-57.91350126;Combustible;190000;;;;;;;;;;;
Lujan de Cuyo Refinery;YPF SA;Refinery;1229586.207;Industrial point source;;Mendoza;-33.07089296;-68.97531701;Combustible;105000;;;;;;;;;;;
Plaza Huincul Refinery;YPF SA;Refinery;292758.6207;Industrial point source;;Neuquén;-38.9288127;-69.18736154;Combustible;25000;;;;;;;;;;;
Raizen Dock Sud;Raizen;Refinery;1171034.483;Industrial point source;;Buenos Aires;-34.64167707;-58.33684622;Combustible;100000;;;;;;;;;;;
Axion Campana Refinery;PAE;Refinery;1171034.483;Industrial point source;;Buenos Aires;-34.15453734;-58.95403325;Combustible;100000;;;;;;;;;;;
DAPSA;;Refinery;0;Industrial point source;;;;;;;;;;;;;;;;;
Dock Sud Refinery;;Refinery;0;Industrial point source;;;;;;;;;;;;;;;;;
REFINOR Campo Duran Refinery;;Refinery;351310.3448;Industrial point source;;Salta;-22.20022216;-63.66914578;;30000;;;;;;;;;;;
TRAFIGURA Bahia Blanca Refinery;;Refinery;351310.3448;Industrial point source;;Buenos Aires;-38.72155716;-62.29859593;;30000;;;;;;;;;;;
OIL Combustibles San Lorenzo Refinery;;Refinery;0;Industrial point source;;;;;;0;;;;;;;;;;;
PAMPA ENERGIA SA;;Etileno;25916;Industrial point source;Pto General San Martín;Santa Fe;-32.69234971;-60.73547591;Etileno;31000;;;Fish;2021;IPA/Inventario GHG;0.836;;;;;
