Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provinc1028453ia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source
Papel Misionero;Papel Misionero;Pulp and paper;272137.5;Industrial point source;Puerto Leoni;Misiones;-26.93561856;-55.11980442;Cellulose pulp;108855;;0.9;;;estimated;2.5;;;;;
Papelera del NOA S.A.;Papelera del NOA S.A.;Pulp and paper;85425;Industrial point source;Río Blanco;Jujuy;-24.23195846;-65.23014529;Cellulose pulp;34170;;0.84;;;estimated;2.5;;;;;
Fábrica de Papel Ledesma;Fábrica de Papel Ledesma;Pulp and paper;212250;Industrial point source;Libertador General San Martín;Jujuy;-23.82765684;-64.79551334;Cellulose pulp;84900;;0.67;;;estimated;2.5;;;;;
Fana Química SA;Fana Química SA;Pulp and paper;4000;Industrial point source;San José;Entre Ríos;;;Cellulose pulp;1600;;0.41;;;estimated;2.5;;;;;
Fábrica L'Amalí;Loma Negra;Cement;2442352.941;Industrial point source;Olavarría;Buenos Aires;-37.03607735;-60.29810249;Cement;3200000;;;Integrada;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/
Fábrica Olavarría;Loma Negra;Cement;1144852.941;Industrial point source;Olavarría;Buenos Aires;-36.93725544;-60.16484634;Cement;1500000;;;Integrada;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/
Fábrica Sierras Bayas;Loma Negra;Cement;;Industrial point source;Sierras Bayas;Buenos Aires;-36.9383899;-60.16503118;Cement;;;;cerrada;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/
Fábrica Barker;Loma Negra;Cement;;Industrial point source;Benito Juarez;Buenos Aires;-37.68283558;-59.388828;Cement;;;;Grinding (molienda);;;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/
Planta Ramallo;Loma Negra;Cement;;Industrial point source;Ramallo;Buenos Aires;-33.38022978;-60.15325117;Cement;;;;Grinding (molienda);;;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/
Fábrica Catamarca;Loma Negra;Cement;1373823.529;Industrial point source;El Alto;Catamarca;-28.46620076;-65.21491434;Cement;1800000;;;Integrada;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/
Fábrica San Juan;Loma Negra;Cement;;Industrial point source;Rivadavia;San Juan;-31.54717154;-68.67430483;Cement;;;;Grinding (molienda);2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/
Fábrica Zapala;Loma Negra;Cement;305294.1176;Industrial point source;Zapala;Neuquén;-38.89661841;-70.03773085;Cement;400000;;;Integrada;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/
Fábrica LomaSer;Loma Negra;Cement;;Industrial point source;Vicente Casares;Buenos Aires;-34.95797683;-58.64295248;Cement;;;;Blending;;;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/
Planta Holcim Capdeville Mendoza;HOLCIM;Cement;534264.7059;Industrial point source;Las Heras;Mendoza;-32.7406102;-68.83721964;Cement;700000;;;;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;
Planta Holcim Malagueño;HOLCIM;Cement;2366029.412;Industrial point source;Malagueño;Córdoba;-31.47714495;-64.35835512;Cement;3100000;;;;;;0.519;;;;;
Planta Holcim Puesto Viejo;HOLCIM;Cement;763235.2941;Industrial point source;Puesto Viejo;Jujuy;-24.49038325;-64.9570812;Cement;1000000;;;;;;0.519;;;;;
Planta Holcim Campana;HOLCIM;Cement;;Industrial point source;Campana;Buenos Aires;-34.14560719;-59.02034634;Cement;;;;;;;0.519;;;;;
Planta Campana;Cementos Avellaneda;Cement;;Industrial point source;Campana;Buenos Aires;-34.16978546;-59.00184583;Cement;;;;;;;0.519;;;;;
San Jacinto;Cementos Avellaneda;Cement;1831764.706;Industrial point source;Olavarría;Buenos Aires;-36.98156278;-60.24814569;Cement;2400000;;;;;;0.519;;;;;
El Grande;Cementos Avellaneda;Cement;839558.8235;Industrial point source;La Calera;San Luis;-32.799973;-66.85763867;Cement;1100000;;;;;;0.519;;;;;
Fábrica Comodoro Rivadavia;PCR;Cement;;Industrial point source;Comodoro Rivadavia;Chubut;-45.80214455;-67.4236816;Cement;;;;;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;
Fábrica Pico Truncado;PCR;Cement;457941.1765;Industrial point source;Pico Truncado;Santa Cruz;-46.78713825;-67.92954422;Cement;600000;;;;;;0.519;;;;;
Planta siderúrgica Ternium Siderar;Ternium Argentina S.A.;Steel;5286272;Industrial point source;Ramallo/San Nicolas;Buenos Aires;-33.32260493;-60.15945416;Slabs and hot rolled flat products . cold rolled flat products . tinplate;3200000;;0.59375;Blast Furnace - Basic Oxygen Furnace (BF-BOF);2021;https://climatetrace.org/map/argentina-manufacturing-co2;1.65196;;;;;https://www.gem.wiki/Planta_sider%C3%BArgica_Ternium_Siderar
;Ternium Argentina S.A.;Steel;;Industrial point source;Ensenada;Buenos Aires;-34.80606584;-57.92924997;Cold rolled flat products ;;;;;;;;;;;;
;Ternium Argentina S.A.;Steel;;Industrial point source;Haedo;Buenos Aires;-34.58262707;-58.63146321;Galvanized. electro zinced and prepainted ;;;;;;;;;;;;
;Ternium Argentina S.A.;Steel;;Industrial point source;Canning;Buenos Aires;-34.79942658;-58.51610678;Galvanized. electro zinced and prepainted ;;;;;;;;;;;;
