Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude)
SIDERAR PTA. IND. SAN NICOLAS;;Thermal power plant;31.00;Industrial point source;;Buenos Aires;-33.35478022;-60.1730117
SINOPEC Arg. - El Huemul;;Thermal power plant;29407.00;Industrial point source;;Santa Cruz;-49.33023006;-72.88361232
SINOPEC Arg. - Meseta Espinosa;;Thermal power plant;13683.00;Industrial point source;;Santa Cruz;;
SOLALBAN ENERGIA SA;;Thermal power plant;42405.00;Industrial point source;;Buenos Aires;-38.78541148;-62.25754249
TERMINAL 6 COGENERACION PUERTO;;Thermal power plant;209988.00;Industrial point source;;Santa Fe;-32.66237097;-60.74916497
TERMOELE. JOSE SAN MARTIN S.A;;Thermal power plant;2045982.00;Industrial point source;;Santa Fe;-32.57020631;-60.79050355
TERMOELECTRICA GUILLERMO BROWN;;Thermal power plant;1021465.00;Industrial point source;;Buenos Aires;-38.68206102;-62.42135034
TERMOELECTRICA M.BELGRANO S.A.;;Thermal power plant;2150020.00;Industrial point source;;Buenos Aires;-34.14974236;-59.00582295
YAC.ENTRE LOMAS AUTOGENERADOR;;Thermal power plant;27680.00;Industrial point source;;Río Negro;-38.13400181;-68.00363319
YPF Autogenerador Pza. Huincul;;Thermal power plant;161867.00;Industrial point source;;Neuquén;-38.92994561;-69.16904786
YPF CT MANANTIALES BEHR II AG;;Thermal power plant;8767.00;Industrial point source;;Chubut;-45.63426933;-67.80866884
YPF EL TREBOL CT MANANT. BEHR;;Thermal power plant;6.00;Industrial point source;;Chubut;-45.67203528;-67.75657658
YPF ENERGÍA ELECTR.ex PLUSPETG;;Thermal power plant;1400041.00;Industrial point source;;Tucumán;;
YPF LA PLATA COGENERACION;;Thermal power plant;228277.00;Industrial point source;;Buenos Aires;-34.89017736;-57.92279843
YPF LOS PERALES AUTOG;;Thermal power plant;68352.00;Industrial point source;;Santa Cruz;-46.1958354;-69.26507537
YPF YAC P.HERNANDEZ AUTOG;;Thermal power plant;26.00;Industrial point source;;Neuquén;-37.29578133;-69.06655773
BIOGAS CT AVELLANEDA SECCO;;Biogas Power Plant;41391.00;Biogenic point source;;Santa Fe;-29.1177703;-59.64047481
CENTRAL BIOELECTRICA R.CUARTO1;;Biogas Power Plant;13140.00;Biogenic point source;;Córdoba;-33.17984121;-64.3831869
C.BIOELECT.R.CUARTO1 REN2;;Biogas Power Plant;10249.20;Biogenic point source;;Córdoba;-33.17824283;-64.37979659
C.BIOELECT.R.CUARTO2 REN1;;Biogas Power Plant;7884.00;Biogenic point source;;Córdoba;-33.18287626;-64.38488206
C.BIOELECT.R.CUARTO2 REN2;;Biogas Power Plant;7884.00;Biogenic point source;;Córdoba;-33.18400764;-64.38492497
BIOGAS CTBG CITRUSVIL-ALCOVIL;;Biogas Power Plant;19710.00;Biogenic point source;;Tucumán;-26.84580608;-65.13499577
BIOGAS RS CT ENSENADA SECCO;;Biogas Power Plant;34821.00;Biogenic point source;;Buenos Aires;-34.86081282;-57.96314619
CTBG GENERAL ALVEAR;;Biogas Power Plant;6570.00;Biogenic point source;;Buenos Aires;-36.01532605;-60.10616456
BIOGAS CTBG GIGENA I;;Biogas Power Plant;7884.00;Biogenic point source;;Córdoba;-32.78552086;-64.19518873
BIOGAS CTBG JUSTO DARACT;;Biogas Power Plant;6570.00;Biogenic point source;;San Luis;-33.9234622;-65.15093963
BIOGAS CTBG PACUCA BIO ENERGÍA;;Biogas Power Plant;6570.00;Biogenic point source;;Buenos Aires;-35.38242174;-59.44253713
BIOGAS CTBG PERGAMINO;;Biogas Power Plant;15768.00;Biogenic point source;;Buenos Aires;-33.92388171;-60.53821415
C.T.SAN MARTIN NORTE 3A;;Biogas Power Plant;33507.00;Biogenic point source;;Buenos Aires;-34.5315305;-58.6087694
CT SAN MIGUEL NORTE III-ENARSA;;Biogas Power Plant;75555.00;Biogenic point source;;Buenos Aires;-34.52484812;-58.61664438
ENERGIA AGRO S.A.U;;Biogas Power Plant;9296.55;Biogenic point source;;Santa Fe;-34.18229245;-62.05263989
BIOGAS CTBG TIGONBU;;Biogas Power Plant;13140.00;Biogenic point source;;San Luis;-34.7468824;-65.24745477
BIOGAS CTBG VILLA DEL ROS. CGY;;Biogas Power Plant;6570.00;Biogenic point source;;Córdoba;-31.57330076;-63.55084309
BIOGAS CTBG VENADO TUERTO;;Biogas Power Plant;13797.00;Biogenic point source;;Santa Fe;-33.69118337;-62.04103717
BIO ENERGÍA YANQUETRUZ S.A.;;Biogas Power Plant;9855.00;Biogenic point source;;San Luis;-33.3801343;-65.58307536
BIOGAS CTBG ENRECO;;Biogas Power Plant;13140.00;Biogenic point source;;Córdoba;-33.416619031;-62.48488564
CTBG BIO ENERGÍA YANQUETRUZ II;;Biogas Power Plant;5256.00;Biogenic point source;;San Luis;-33.37826423;-65.56900085
CTBG BIO. SANTA CATALINA;;Biogas Power Plant;13140.00;Biogenic point source;;Córdoba;-33.17284854;-64.40235703
BIOGAS CTBG AB ENERGÍA;;Biogas Power Plant;13140.00;Biogenic point source;;La Pampa;-37.7688202;-67.70917058
CT BIOMASA MM BIOENERGÍA;;Biogas Power Plant;19710.00;Biogenic point source;;Misiones;-27.62976944;-55.43596538
CTBRS SAN MARTÍN NORTE III-D;;Biogas Power Plant;33507.00;Biogenic point source;;Buenos Aires;-34.52028708;-58.62735174
BIOGAS CTBG ARRE BEEF SA;;Biogas Power Plant;9855.00;Biogenic point source;;Buenos Aires;-33.76336033;-60.09148466
BIOGAS CT RESENER SA;;Biogas Power Plant;5256.00;Biogenic point source;;Buenos Aires;-38.69554547;-62.46569561
CTBG POLLOS SAN MATEO;;Biogas Power Plant;15768.00;Biogenic point source;;Córdoba;-31.19186042;-64.28926368
CTBG GENERAL VILLEGAS Ren 2;;Biogas Power Plant;8015.40;Biogenic point source;;Buenos Aires;-34.99825504;-62.99354435
YPF Plaza Huincul;YPF SA;Methanol;275370.00;Industrial point source;;Neuquén;-38.92880502;-69.18029111
Arauco General San Martin;Arauco Argentina S.A. ;Methanol;33500.00;Industrial point source;;Santa Fe;-32.65892352;-60.73470953
La Plata Refinery;YPF SA;Refinery;2224965.52;Industrial point source;;Buenos Aires;-34.88514453;-57.91350126
Lujan de Cuyo Refinery;YPF SA;Refinery;1229586.21;Industrial point source;;Mendoza;-33.07089296;-68.97531701
Plaza Huincul Refinery;YPF SA;Refinery;292758.62;Industrial point source;;Neuquén;-38.9288127;-69.18736154
Raizen Dock Sud;Raizen;Refinery;1171034.48;Industrial point source;;Buenos Aires;-34.64167707;-58.33684622
Axion Campana Refinery;PAE;Refinery;1171034.48;Industrial point source;;Buenos Aires;-34.15453734;-58.95403325
DAPSA;;Refinery;0.00;Industrial point source;;;;
Dock Sud Refinery;;Refinery;0.00;Industrial point source;;;;
REFINOR Campo Duran Refinery;;Refinery;351310.34;Industrial point source;;Salta;-22.20022216;-63.66914578
TRAFIGURA Bahia Blanca Refinery;;Refinery;351310.34;Industrial point source;;Buenos Aires;-38.72155716;-62.29859593
OIL Combustibles San Lorenzo Refinery;;Refinery;0.00;Industrial point source;;;;
PAMPA ENERGIA SA;;Etileno;25916.00;Industrial point source;Pto General San Martín;Santa Fe;-32.69234971;-60.73547591
PBB Polisur S.A.;;Etileno;229900.00;Industrial point source;Bahia Blanca;Buenos Aires;-38.65309984;-62.28055105
PBB Polisur S.A.;;Etileno;355300.00;Industrial point source;Bahia Blanca;Buenos Aires;-38.65309984;-62.28055105
CT BIOMASA GARRUCHOS;; Biomass Power Plant ;257714.35;Biogenic point source;;Corrientes;-27.94617937;-56.00073193
CTBM. GENERACIÓN LAS JUNTURAS;; Biomass Power Plant ;60021.67;Biogenic point source;;Córdoba;-31.83992999;-63.44270922
CTBM INGENIO LEALES;; Biomass Power Plant ;5855.11;Biogenic point source;;Tucumán;-27.07223015;-65.23077638
CT BIOMASA SANTA ROSA CORRIENTES;; Biomass Power Plant ;122490.21;Biogenic point source;;Corrientes;-28.23787262;-58.06779436
CT BIOMASA LA ESCONDIDA CHACO;; Biomass Power Plant ;40100.60;Biogenic point source;;Chaco;-27.1024196;-59.44379683
CTBM BIOMASA UNITAN SEIS MEGA;; Biomass Power Plant ;1307.53;Biogenic point source;;Chaco;-27.37139972;-59.08705038
ALTO PARANA-PTO.PIRAY;; Biomass Power Plant ;88234.82;Biogenic point source;;Misiones;-26.47536011;-54.72039929
ARCOR ING.LA PROVIDENCIA;; Biomass Power Plant ;16590.35;Biogenic point source;;Tucumán;-27.26445360;-65.56637912
AZUCARERA JUAN M.TERAN SA;; Biomass Power Plant ;6297.72;Biogenic point source;;Tucumán;-27.45834206;-65.60604599
CT BIOMASA MM BIOENERGÍA;; Biomass Power Plant ;13977.01;Biogenic point source;;Misiones;-27.63019753;-55.43580567
CT PRODEMAN BIOENERGÍA;; Biomass Power Plant ;60021.67;Biogenic point source;;Córdoba;-32.79407682;-63.86537614
ECO-ENERGIA S.A.BIOMASA;; Biomass Power Plant ;18829.90;Biogenic point source;;Misiones;-26.02800244;-54.58478971
GENERACION TICINO BIOMASA SA;; Biomass Power Plant ;25099.65;Biogenic point source;;Córdoba;-32.70126887;-63.43327446
Ingenio y Ref.S.Martin Tabacal;; Biomass Power Plant ;98553.78;Biogenic point source;;Salta;-23.2537127;-64.24116463
NIDERA SAFORCADA-Junin;; Biomass Power Plant ;12.29;Biogenic point source;;Buenos Aires;-34.58638693;-61.03071103
PAPEL MISIONERO S.A.;; Biomass Power Plant ;270.79;Biogenic point source;;Misiones;-26.93529417;-55.12206674
