Name;Company;Industry;CO2_emissions_t;Source_CO2_emissions;Source;City;Province;Latitude;Longitude
Planta Holcim Puesto Viejo;HOLCIM;Cement;763235.29;Industrial point source;Cement;Puesto Viejo;Jujuy;-24.49038325;-64.9570812
Planta Holcim Campana;HOLCIM;Cement;;Industrial point source;Cement;Campana;Buenos Aires;-34.14560719;-59.02034634
Planta Campana;Cementos Avellaneda;Cement;;Industrial point source;Cement;Campana;Buenos Aires;-34.16978546;-59.00184583
San Jacinto;Cementos Avellaneda;Cement;1831764.71;Industrial point source;Cement;Olavarría;Buenos Aires;;
El Grande;Cementos Avellaneda;Cement;839558.82;Industrial point source;Cement;La Calera;San Luis;;
Fábrica Comodoro Rivadavia;PCR;Cement;;Industrial point source;Cement;Comodoro Rivadavia;Chubut;-45.80214455;-67.4236816
Fábrica Pico Truncado;PCR;Cement;457941.18;Industrial point source;Cement;Pico Truncado;Santa Cruz;-46.78713825;-67.92954422
Planta siderúrgica Ternium Siderar;Ternium Argentina S.A.;Steel;5286272.00;Industrial point source;Slabs and hot rolled flat products . cold rolled flat products . tinplate;Ramallo/San Nicolas;Buenos Aires;-33.32260493;-60.15945416
;Ternium Argentina S.A.;Steel;;Industrial point source;Cold rolled flat products ;Ensenada;Buenos Aires;-34.80606584;-57.92924997
;Ternium Argentina S.A.;Steel;;Industrial point source;Galvanized. electro zinced and prepainted ;Haedo;Buenos Aires;-34.58262707;-58.63146321
;Ternium Argentina S.A.;Steel;;Industrial point source;Galvanized. electro zinced and prepainted ;Canning;Buenos Aires;-34.79942658;-58.51610678
;Ternium Argentina S.A.;Steel;;Industrial point source;Galvanized. electro zinced and prepainted ;Florencio Varela;Buenos Aires;-34.72722318;-58.18102379
;Ternium Argentina S.A.;Steel;;Industrial point source;Seam pipes;Rosario;Santa Fe;-32.88917097;-60.70918231
Planta siderúrgica TenarisSiderca;Ternaris S.A. / Siderca S.A.I.C.;Steel;650000.00;Industrial point source;Seamless pipes ;Campana;Buenos Aires;-34.152554;-58.977388
