latitude,longitude,altitude,geometry,Name,Company,Industry,CO2_emissions_t,Source_CO2_emissions,City,Province,Primary product,Installed Capacity [t/a],Columna1,Utility of the installed capacity,Process,year_emission,Source,CO2 factor [tCO2/tproduct]
-33.7216403,-59.62774924,,Point,Papel Prensa S.A.I.C.F.,Papel Prensa S.A.I.C.F.,Pulp and Paper,421762.5,Industrial point source,San Pedro,Buenos Aires,Cellulose pulp,168705,,0.66,,,"Estimation made by K. Kuparinen, E.  Vakkilainen, and T. Tinjala, ""Biomass-Based Carbon Capture and Utilization in kraft pulp mills"". See Sources and methodology",2.5
-26.93561856,-55.11980442,,Point,Papel Misionero,Papel Misionero,Pulp and Paper,272137.5,Industrial point source,Puerto Leoni,Misiones,Cellulose pulp,108855,,0.9,,,"Estimation made by K. Kuparinen, E.  Vakkilainen, and T. Tinjala, ""Biomass-Based Carbon Capture and Utilization in kraft pulp mills"". See Sources and methodology",2.5
-24.23195846,-65.23014529,,Point,Papelera del NOA S.A.,Papelera del NOA S.A.,Pulp and Paper,85425,Industrial point source,Río Blanco,Jujuy,Cellulose pulp,34170,,0.84,,,"Estimation made by K. Kuparinen, E.  Vakkilainen, and T. Tinjala, ""Biomass-Based Carbon Capture and Utilization in kraft pulp mills"". See Sources and methodology",2.5
-23.82765684,-64.79551334,,Point,Fábrica de Papel Ledesma,Fábrica de Papel Ledesma,Pulp and Paper,212250,Industrial point source,Libertador General San Martín,Jujuy,Cellulose pulp,84900,,0.67,,,"Estimation made by K. Kuparinen, E.  Vakkilainen, and T. Tinjala, ""Biomass-Based Carbon Capture and Utilization in kraft pulp mills"". See Sources and methodology",2.5
-37.03607735,-60.29810249,,Point,Fábrica L'Amalí,Loma Negra,Cement,2442352.941,Industrial point source,Olavarría,Buenos Aires,Cement,3200000,,,Integrada,2021,Asociación de Fabricantes de Cemento Portland (AFCP),0.519
-36.93725544,-60.16484634,,Point,Fábrica Olavarría,Loma Negra,Cement,1144852.941,Industrial point source,Olavarría,Buenos Aires,Cement,1500000,,,Integrada,2021,Asociación de Fabricantes de Cemento Portland (AFCP),0.519
-28.46620076,-65.21491434,,Point,Fábrica Catamarca,Loma Negra,Cement,1373823.529,Industrial point source,El Alto,Catamarca,Cement,1800000,,,Integrada,2021,Asociación de Fabricantes de Cemento Portland (AFCP),0.519
-38.89661841,-70.03773085,,Point,Fábrica Zapala,Loma Negra,Cement,305294.1176,Industrial point source,Zapala,Neuquén,Cement,400000,,,Integrada,2021,Asociación de Fabricantes de Cemento Portland (AFCP),0.519
-32.7406102,-68.83721964,,Point,Planta Holcim Capdeville Mendoza,HOLCIM,Cement,534264.7059,Industrial point source,Las Heras,Mendoza,Cement,700000,,,,2021,Asociación de Fabricantes de Cemento Portland (AFCP),0.519
-31.47714495,-64.35835512,,Point,Planta Holcim Malagueño,HOLCIM,Cement,2366029.412,Industrial point source,Malagueño,Córdoba,Cement,3100000,,,,2021,Asociación de Fabricantes de Cemento Portland (AFCP),0.519
-24.49038325,-64.9570812,,Point,Planta Holcim Puesto Viejo,HOLCIM,Cement,763235.2941,Industrial point source,Puesto Viejo,Jujuy,Cement,1000000,,,,2021,Asociación de Fabricantes de Cemento Portland (AFCP),0.519
-36.98156278,-60.24814569,,Point,San Jacinto,Cementos Avellaneda,Cement,1831764.706,Industrial point source,Olavarría,Buenos Aires,Cement,2400000,,,,2021,Asociación de Fabricantes de Cemento Portland (AFCP),0.519
-32.799973,-66.85763867,,Point,El Grande,Cementos Avellaneda,Cement,839558.8235,Industrial point source,La Calera,San Luis,Cement,1100000,,,,2021,Asociación de Fabricantes de Cemento Portland (AFCP),0.519
-46.78713825,-67.92954422,,Point,Fábrica Pico Truncado,PCR,Cement,457941.1765,Industrial point source,Pico Truncado,Santa Cruz,Cement,600000,,,,2021,Asociación de Fabricantes de Cemento Portland (AFCP),0.519
