Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source;;Potencial producción Metanol [t/a];Consumo de  H2 [t/a];Potencia electrolisis (FC: 60%) [MW]
Arauco Argentina S.A. ;Arauco Argentina S.A. ;Pulp and paper;875000.00;Industrial point source;Puerto Esperanza;Misiones;-25.97573961;-54.63376934;Cellulose pulp;350.000;;87%;;;estimated;2.5;;;;;;;550.661;127.093;1.209
Celulosa Argentina S.A.;Celulosa Argentina S.A.;Pulp and paper;416400.00;Industrial point source;Capitan Bermudez;Santa Fe;-32.73646168;-60.70218034;Cellulose pulp;166.560;;92%;;;estimated;2.5;;;;;;;262.052;60.482;575
Papel Prensa S.A.I.C.F.;Papel Prensa S.A.I.C.F.;Pulp and paper;421762.50;Industrial point source;San Pedro;Buenos Aires;-33.7216403;-59.62774924;Cellulose pulp;168.705;;66%;;;estimated;2.5;;;;;;;265.426;61.260;583
Papel Misionero;Papel Misionero;Pulp and paper;272137.50;Industrial point source;Puerto Leoni;Misiones;-26.93561856;-55.11980442;Cellulose pulp;108.855;;90%;;;estimated;2.5;;;;;;;171.263;39.528;376
Papelera del NOA S.A.;Papelera del NOA S.A.;Pulp and paper;85425.00;Industrial point source;Río Blanco;Jujuy;-24.23195846;-65.23014529;Cellulose pulp;34.170;;84%;;;estimated;2.5;;;;;;;53.760;12.408;118
Fábrica de Papel Ledesma;Fábrica de Papel Ledesma;Pulp and paper;212250.00;Industrial point source;Libertador General San Martín;Jujuy;-23.82765684;-64.79551334;Cellulose pulp;84.900;;67%;;;estimated;2.5;;;;;;;133.575;30.829;293
Fana Química SA;Fana Química SA;Pulp and paper;4000.00;Industrial point source;San José;Entre Ríos;;;Cellulose pulp;1.600;;41%;;;estimated;2.5;;;;;;;2.517;581;6
Fábrica L'Amalí;Loma Negra;Cement;2442352.94;Industrial point source;Olavarría;Buenos Aires;-37.03607735;-60.29810249;Cement; 3.200.000 ;;;Integrada;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/;;1.537.038;354.748;3.375
Fábrica Olavarría;Loma Negra;Cement;1144852.94;Industrial point source;Olavarría;Buenos Aires;-36.93725544;-60.16484634;Cement; 1.500.000 ;;;Integrada;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/;;720.486;166.288;1.582
Fábrica Sierras Bayas;Loma Negra;Cement;;Industrial point source;Sierras Bayas;Buenos Aires;-36.9383899;-60.16503118;Cement;;;;cerrada;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/;;0;0;0
Fábrica Barker;Loma Negra;Cement;;Industrial point source;Benito Juarez;Buenos Aires;-37.68283558;-59.388828;Cement;;;;Grinding (molienda);;;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/;;0;0;0
Planta Ramallo;Loma Negra;Cement;;Industrial point source;Ramallo;Buenos Aires;-33.38022978;-60.15325117;Cement;;;;Grinding (molienda);;;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/;;0;0;0
Fábrica Catamarca;Loma Negra;Cement;1373823.53;Industrial point source;El Alto;Catamarca;-28.46620076;-65.21491434;Cement; 1.800.000 ;;;Integrada;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/;;864.584;199.546;1.898
Fábrica San Juan;Loma Negra;Cement;;Industrial point source;Rivadavia;San Juan;-31.54717154;-68.67430483;Cement;;;;Grinding (molienda);2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/;;0;0;0
Fábrica Zapala;Loma Negra;Cement;305294.12;Industrial point source;Zapala;Neuquén;-38.89661841;-70.03773085;Cement; 400.000 ;;;Integrada;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/;;192.130;44.344;422
Fábrica LomaSer;Loma Negra;Cement;;Industrial point source;Vicente Casares;Buenos Aires;-34.95797683;-58.64295248;Cement;;;;Blending;;;0.519;;;;;https://www.lomanegra.com/nuestras-unidades/;;0;0;0
Planta Holcim Capdeville Mendoza;HOLCIM;Cement;534264.71;Industrial point source;Las Heras;Mendoza;-32.7406102;-68.83721964;Cement; 700.000 ;;;;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;;;336.227;77.601;738
Planta Holcim Malagueño;HOLCIM;Cement;2366029.41;Industrial point source;Malagueño;Córdoba;-31.47714495;-64.35835512;Cement; 3.100.000 ;;;;;;0.519;;;;;;;1.489.005;343.662;3.269
Planta Holcim Puesto Viejo;HOLCIM;Cement;763235.29;Industrial point source;Puesto Viejo;Jujuy;-24.49038325;-64.9570812;Cement; 1.000.000 ;;;;;;0.519;;;;;;;480.324;110.859;1.055
Planta Holcim Campana;HOLCIM;Cement;;Industrial point source;Campana;Buenos Aires;-34.14560719;-59.02034634;Cement;;;;;;;0.519;;;;;;;0;0;0
Planta Campana;Cementos Avellaneda;Cement;;Industrial point source;Campana;Buenos Aires;-34.16978546;-59.00184583;Cement;;;;;;;0.519;;;;;;;0;0;0
San Jacinto;Cementos Avellaneda;Cement;1831764.71;Industrial point source;Olavarría;Buenos Aires;-36.98156278;-60.24814569;Cement; 2.400.000 ;;;;;;0.519;;;;;;;1.152.778;266.061;2.531
El Grande;Cementos Avellaneda;Cement;839558.82;Industrial point source;La Calera;San Luis;-32.799973;-66.85763867;Cement; 1.100.000 ;;;;;;0.519;;;;;;;528.357;121.945;1.160
Fábrica Comodoro Rivadavia;PCR;Cement;;Industrial point source;Comodoro Rivadavia;Chubut;-45.80214455;-67.4236816;Cement;;;;;2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.519;;;;;;;0;0;0
Fábrica Pico Truncado;PCR;Cement;457941.18;Industrial point source;Pico Truncado;Santa Cruz;-46.78713825;-67.92954422;Cement; 600.000 ;;;;;;0.519;;;;;;;288.195;66.515;633
Planta siderúrgica Ternium Siderar;Ternium Argentina S.A.;Steel;5286272.00;Industrial point source;Ramallo/San Nicolas;Buenos Aires;-33.32260493;-60.15945416;Slabs and hot rolled flat products . cold rolled flat products . tinplate;3.200.000;;59%;Blast Furnace - Basic Oxygen Furnace (BF-BOF);2021;https://climatetrace.org/map/argentina-manufacturing-co2;1.65196;;;;;https://www.gem.wiki/Planta_sider%C3%BArgica_Ternium_Siderar;;3.326.792;767.824;7.304
;Ternium Argentina S.A.;Steel;;Industrial point source;Ensenada;Buenos Aires;-34.80606584;-57.92924997;Cold rolled flat products ;;;;;;;;;;;;;;0;0;0
;Ternium Argentina S.A.;Steel;;Industrial point source;Haedo;Buenos Aires;-34.58262707;-58.63146321;Galvanized. electro zinced and prepainted ;;;;;;;;;;;;;;0;0;0
;Ternium Argentina S.A.;Steel;;Industrial point source;Canning;Buenos Aires;-34.79942658;-58.51610678;Galvanized. electro zinced and prepainted ;;;;;;;;;;;;;;0;0;0
;Ternium Argentina S.A.;Steel;;Industrial point source;Florencio Varela;Buenos Aires;-34.72722318;-58.18102379;Galvanized. electro zinced and prepainted ;;;;;;;;;;;;;;0;0;0
;Ternium Argentina S.A.;Steel;;Industrial point source;Rosario;Santa Fe;-32.88917097;-60.70918231;Seam pipes;;;;;;;;;;;;;;0;0;0
Planta siderúrgica TenarisSiderca;Ternaris S.A. / Siderca S.A.I.C.;Steel;650000.00;Industrial point source;Campana;Buenos Aires;-34.152554;-58.977388;Seamless pipes ;1.300.000;;54%;Electric Arc Furnace (EAF);2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.5;;;;;https://www.gem.wiki/Planta_sider%C3%BArgica_TenarisSiderca;;409.062;94.412;898
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Valentin Alsina;Buenos Aires;-34.66288154;-58.40681255;Seam pipes ;;;;;;;;;;;;;;0;0;0
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Villa Constitución;Santa Fe;-33.23981167;-60.31761739;Seam pipes ;;;;;;;;;;;;;;0;0;0
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Villa Mercedes;San Luis;-34.69235624;-58.54186997;Sucker rods and accesories ;;;;;;;;;;;;;;0;0;0
Planta siderúrgia ArcelorMittal Acindar;Acindar Industria Argentina de Aceros S.A.;Steel;1015000.00;Industrial point source;Villa Constitución;Santa Fe;-33.256309;-60.292472;Billets. rolled non-flat products ;1.750.000;;63%;Electric Arc Furnace (EAF);2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.58;;;;;https://www.gem.wiki/Planta_sider%C3%BArgica_ArcelorMittal_Acindar;;638.767;147.427;1.402
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Rosario;Santa Fe;-32.97077123;-60.72206377;Billets. rolled non-flat products ;;;;;;;;;;;;;;0;0;0
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;La Tablada;Buenos Aires;;;Billets. rolled non-flat products ;;;;;;;;;;;;;;0;0;0
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;San Nicolas;Buenos Aires;-33.34700797;-60.25863236;Billets. rolled non-flat products ;;;;;;;;;;;;;;0;0;0
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Villa Mercedes;San Luis;-33.72087734;-65.46444205;Billets. rolled non-flat products ;;;;;;;;;;;;;;0;0;0
Planta Siderurgica ACERBRAG;Acerbrag S.A. (grupo brasileño Votorantim);Steel;;Industrial point source;Bragado;Buenos Aires;-35.13711789;-60.4520892;Rolled non-flat products ;250.000;;;Electric Arc Furnace (EAF);;;;;;;;;;0;0;0
Aceros Zapla;Aceros Zapla S.A.;Steel;;Industrial point source;Palpalá;Jujuy;-24.2460988;-65.19816083;Billets. rolled non-flat products ;80.000;;;Electric Arc Furnace (EAF);;;;;;;;http://www.aceroszapla.com.ar/empresa.php;;0;0;0
Planta siderúrgica Gerdau Sipar Pérez;Gerdau SA;Steel;103031.00;Industrial point source;Pérez;Santa Fe;-32.9912336;-60.7588733;Rolled non-flat products ;650.000;;21%;Electric Arc Furnace (EAF);2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.17746;;;;;https://www.gem.wiki/Planta_sider%C3%BArgica_Gerdau_Sipar_P%C3%A9rez;;64.840;14.965;142
ALUAR SA - GENERADOR;Aluar;Thermal power plant;210445.00;Industrial point source;Puerto Madryn;Chubut;-42.7438848;-65.04839927;Electrical energy;189;;;;2021;CAMMESA;1.95;409.248;108.021;;;;;132.439;30.567;291
ARCOR MARIO SEVESO ARROYITO;;Thermal power plant;93267.00;Industrial point source;;Córdoba;-31.4205551;-63.03885915;;;;;;2021;CAMMESA;1.95;130.861;47.874;;;;;58.695;13.547;129
C. TERMICAS MENDOZA PLUS;;Thermal power plant;788702.00;Industrial point source;;Mendoza;-33.02787784;-68.89874272;;288;;;;2021;CAMMESA;1.95;2.013.663;404.837;;;;;496.351;114.558;1.090
C. TERMICAS MENDOZA SA;;Thermal power plant;297745.00;Industrial point source;;Mendoza;;;;204;;;;2021;CAMMESA;2.10;392.428;145.157;;;;;187.379;43.247;411
C.COSTA ATLANTICA;;Thermal power plant;509899.00;Industrial point source;;Buenos Aires;-36.30875528;-56.63689546;;456;;;;2021;CAMMESA;2.35;565.045;212.680;;;;;320.893;74.062;705
C.T. AES PARANA;;Thermal power plant;1717893.00;Industrial point source;;Buenos Aires;-32.97092569;-60.1538909;;870;;;;2021;CAMMESA;2.24;4.138.259;825.465;;;;;1.081.116;249.522;2.374
C.T. AGUA DEL CAJON;;Thermal power plant;1108638.00;Industrial point source;Neuquén;Neuquén;-38.93531878;-68.35746075;Electrical energy;184;;;;2021;CAMMESA;1.95;2.355.486;569.059;;;;;697.695;161.028;1.532
C.T. ALMIRANTE BROWN;Excell Power S.R.L.;Thermal power plant;7094.00;Industrial point source;Burazco;Buenos Aires;-34.83766034;-58.40568505;Electrical energy;25;;;;2021;CAMMESA;2.70;9.498;2.630;;;;;4.464;1.030;10
C.T. LOMA DE LA LATA S.A.;C.T. LOMA DE LA LATA S.A.;Thermal power plant;1779653.00;Industrial point source;Neuquén;Neuquén;-38.51178974;-68.60637825;Electrical energy;675;;;;2021;CAMMESA;1.95;4.189.027;913.488;;;;;1.119.983;258.492;2.459
C.T. PATAGONICAS SA;CENTRALES TERMICAS PATAGONICAS S.A.;Thermal power plant;27712.00;Industrial point source;Comodoro Rivadavia;Chubut;-45.81390612;-67.44427712;Electrical energy;160;;;;2021;CAMMESA;1.95;29.015;14.225;;;;;17.440;4.025;38
C.T. SALTA (TERMOANDES);AES;Thermal power plant;1004183.00;Industrial point source;Cobos;Salta;-24.74271171;-65.05151496;Electrical energy;643;;;;2021;CAMMESA;1.95;2.667.147;515.442;;;;;631.959;145.856;1.388
C.TERMICA ALTO VALLE;;Thermal power plant;198282.00;Industrial point source;Neuquén;Neuquén;-38.95161594;-68.02174487;Electrical energy;96;;;;2021;CAMMESA;1.95;344.762;101.777;;;;;124.784;28.800;274
C.TERMICA GUEMES S.A.;;Thermal power plant;139062.00;Industrial point source;;Salta;-24.75718674;-65.34767737;;261;;;;2021;CAMMESA;1.95;230.635;71.380;;;;;87.515;20.199;192
C.TERMICA SAN NICOLAS;AES;Thermal power plant;2158549.00;Industrial point source;San Nicolás de Los Arroyos;Buenos Aires;-33.35809074;-60.17476179;Electrical energy;675;;;;2021;CAMMESA;2.38;1.822.963;918.096;;;;;1.358.432;313.526;2.983
C.TERMICA SORRENTO;;Thermal power plant;20821.00;Industrial point source;;Santa Fe;-32.90624373;-60.68192663;;217;;;;2021;CAMMESA;2.36;22.522;6.899;;;;;13.103;3.024;29
CAPEX S.A. AUTOGENERADOR;;Thermal power plant;1075683.00;Industrial point source;;Neuquén;-38.93576108;-68.35797573;;477;;;;2021;CAMMESA;1.95;2.218.394;552.143;;;;;676.956;156.241;1.486
CENTRAL DIQUE S.A.;CENTRAL DIQUE S.A.;Thermal power plant;478.00;Industrial point source;Ensenada;Buenos Aires;-34.88987358;-57.93335436;Electrical energy;55;;;;2021;CAMMESA;1.95;462;246;;;;;301;69;1
CENTRAL DOCK SUD;Central Dock Sud;Thermal power plant;2101890.00;Industrial point source;Dock Sud;Buenos Aires;-34.65327861;-58.34352059;Electrical energy;870;;;;2021;CAMMESA;2.11;5.377.675;1.055.251;;;;;1.322.775;305.297;2.904
CENTRAL PIEDRA BUENA S.A.;Pampa Energía;Thermal power plant;243763.00;Industrial point source;Ingeniero White;Buenos Aires;-38.78482523;-62.25607271;Electrical energy;;;;;2021;CAMMESA;2.41;311.536;88.615;;natural gas or fuel oil;;;153.407;35.406;337
CENTRAL PUERTO SA;Central Puerto S.A.;Thermal power plant;3481800.00;Industrial point source;Luján de Cuyo;Mendoza;-33.05433167;-68.98071723;Electrical energy;1.777;;;;2021;CAMMESA;2.42;6.562.913;1.458.106;;;;;2.191.189;505.727;4.811
CENTRAL TÉRMICA LOMITA AUTOG.;;Thermal power plant;59300.00;Industrial point source;;Neuquén;;;;;;;;2021;CAMMESA;1.95;152.400;30.438;;;;;37.319;8.613;82
CENTRAL TERMICA PIQUIRENDA;Pampa Energía;Thermal power plant;25963.00;Industrial point source;Piquirenda;Salta;-22.35004604;-63.76700533;Electrical energy;30;;;;2021;CAMMESA;1.95;52.730;13.326;;natural gas;;;16.339;3.771;36
COOP. MNO. MORENO BS. AS.GENER;;Thermal power plant;668.00;Industrial point source;;Buenos Aires;;;;7;;;;2021;CAMMESA;2.70;888;248;;;;;420;97;1
CT 9 de JULIO C Cost ATLANTICA;Centrales de la Costa Atlántica S.A.;Thermal power plant;221258.00;Industrial point source;Mar del Plata;Buenos Aires;-38.04949391;-57.54553583;Electrical energy;95;;;;2021;CAMMESA;2.25;369.325;105.531;;;;;139.244;32.137;306
CT ACONCAGUA ENERGÍA AUTOGENER;;Thermal power plant;17.00;Industrial point source;;Mendoza;;;;;;;;2021;CAMMESA;1.95;23;9;;;;;11;2;0
CT ALEM - AGGREKO;;Thermal power plant;35577.00;Industrial point source;;Misiones;-27.55844357;-55.28616792;;15;;;;2021;CAMMESA;2.70;50.020;13.191;;;;;22.390;5.168;49
CT ANCHORIS - METHAX;EMESA;Thermal power plant;50825.00;Industrial point source;Tupungato;Mendoza;-33.3133564;-68.89151146;Electrical energy;40;;;;2021;CAMMESA;1.95;110.121;26.088;;natural gas;;;31.986;7.382;70
CT AÑATUYA - SULLAIR;;Thermal power plant;11557.00;Industrial point source;Añatuya;Santiago del Estero;-28.44584131;-62.85560319;Electrical energy;19;;;;2021;CAMMESA;2.70;16.691;4.285;;;;;7.273;1.679;16
