Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source;;Potencial producción Metanol [t/a];Consumo de  H2 [t/a];Potencia electrolisis (FC: 60%) [MW]
CT CERES - SECCO;;Thermal power plant;3924.00;Industrial point source;;Santa Fe;-29.87387756;-61.92317816;;18;;;;2021;CAMMESA;2.70;5.516;1.455;;;;;2.469;570;5
CT CHARATA - SULLAIR;;Thermal power plant;7334.00;Industrial point source;;Chaco;-27.20868003;-61.18225793;;20;;;;2021;CAMMESA;2.70;10.516;2.719;;;;;4.615;1.065;10
CT CHILECITO - SECCO;Secco;Thermal power plant;4810.00;Industrial point source;Chilecito;La Rioja;-29.15733701;-67.50746666;Electrical energy;10;;;;2021;CAMMESA;2.70;6.498;1.783;;;;;3.027;699;7
CT CIPOLLETI - AGGREKO;;Thermal power plant;501.00;Industrial point source;;Río Negro;-38.86486771;-68.03632495;;5;;;;2021;CAMMESA;2.70;703;186;;;;;315;73;1
CT COLON BS.AS - SULLAIR;;Thermal power plant;5222.00;Industrial point source;Colón;Buenos Aires;-33.73201213;-61.09709894;Electrical energy;15;;;;2021;CAMMESA;2.70;7.241;1.936;;;;;3.286;758;7
CT CORRIENTES - AGGREKO;;Thermal power plant;7204.00;Industrial point source;;Corrientes;-27.4710135;-58.80297303;;20;;;;2021;CAMMESA;2.70;9.820;2.671;;;;;4.534;1.046;10
CT EZEIZA ETAPA1 G MEDITERRANE;;Thermal power plant;56618.00;Industrial point source;Carlos Spegazzini;Buenos Aires;-34.90274362;-58.61692333;Electrical energy;102;;;;2021;CAMMESA;2.20;100.214;28.164;;;;;35.631;8.224;78
CT EZEIZA ETAPA2 G MEDITERRANE;;Thermal power plant;32456.00;Industrial point source;Carlos Spegazzini;Buenos Aires;-34.90274362;-58.61692333;Electrical energy;50;;;;2021;CAMMESA;2.20;58.029;16.180;;;;;20.425;4.714;45
CT FORMOSA - APR ENERGY;;Thermal power plant;5006.00;Industrial point source;;Formosa;-26.17579564;-58.20978419;;30;;;;2021;CAMMESA;2.70;6.438;1.856;;;;;3.150;727;7
CT GENERAL ROJO CIERRE CC;;Thermal power plant;619957.00;Industrial point source;San Nicolás de Los Arroyos;Buenos Aires;-33.45541478;-60.28090222;Electrical energy;108;;;;2021;CAMMESA;2.31;1.345.916;283.047;;;;;390.155;90.048;857
CT GOYA - SECCO;;Thermal power plant;4754.00;Industrial point source;Goya;Corrientes;-29.15821641;-59.27345715;Electrical energy;13;;;;2021;CAMMESA;2.70;6.507;1.763;;;;;2.992;691;7
CT GRAL. VILLEGAS - AGGREKO;;Thermal power plant;14209.00;Industrial point source;;Buenos Aires;-35.0345172;-62.99797308;;24;;;;2021;CAMMESA;2.70;19.593;5.268;;;;;8.942;2.064;20
CT INDEPEND. ETAPA1 G MEDITERR;Grupo Albanesi;Thermal power plant;10088.00;Industrial point source;San Miguel de Tucumán;Tucumán;-26.866966;-65.22182861;Electrical energy;50;;;;2021;CAMMESA;2.24;15.988;4.546;;;;;6.349;1.465;14
CT INDEPEND. ETAPA2 G MEDITERR;Grupo Albanesi;Thermal power plant;9463.00;Industrial point source;San Miguel de Tucumán;Tucumán;-26.866966;-65.22182861;Electrical energy;49;;;;2021;CAMMESA;2.24;15.214;4.308;;;;;5.955;1.374;13
CT ING JUAREZ - SECCO;;Thermal power plant;2692.00;Industrial point source;Ingeniero Juárez;Formosa;-23.90901687;-61.83150245;Electrical energy;4;;;;2021;CAMMESA;2.70;3.655;998;;;;;1.694;391;4
CT INTA CATAMARCA - SECCO;;Thermal power plant;3559.00;Industrial point source;;Catamarca;;;;7;;;;2021;CAMMESA;2.70;4.967;1.320;;;;;2.240;517;5
CT ISLA VERDE - AGGREKO;;Thermal power plant;7670.00;Industrial point source;;Córdoba;-33.24178127;-62.39381422;;25;;;;2021;CAMMESA;2.70;10.449;2.844;;;;;4.827;1.114;11
CT ITATI - TURBODISEL;;Thermal power plant;1498.00;Industrial point source;;Corrientes;-27.31887856;-58.23844011;;7;;;;2021;CAMMESA;2.70;2.091;555;;;;;943;218;2
CT JUNIN;;Thermal power plant;14479.00;Industrial point source;;Buenos Aires;-34.55914506;-60.92796994;;22;;;;2021;CAMMESA;2.70;20.542;5.368;;;;;9.112;2.103;20
CT LA PAZ Entre Rios - ENARSA;;Thermal power plant;2674.00;Industrial point source;;Entre Ríos;-30.74961413;-59.60149196;;11;;;;2021;CAMMESA;2.70;3.634;991;;;;;1.683;388;4
CT LA PLATA - SULLAIR;;Thermal power plant;14048.00;Industrial point source;San Carlos;Buenos Aires;-34.9338664;-58.01640058;Electrical energy;40;;;;2021;CAMMESA;2.70;19.966;5.208;;;;;8.841;2.040;19
CT LA RIOJA - SECCO;;Thermal power plant;7688.00;Industrial point source;;La Rioja;-29.35906756;-66.83395555;;19;;;;2021;CAMMESA;2.70;10.750;2.850;;;;;4.838;1.117;11
CT LA RIOJA SUR- SECCO;;Thermal power plant;3506.00;Industrial point source;;La Rioja;-29.42128793;-66.82983567;;10;;;;2021;CAMMESA;2.70;4.956;1.300;;;;;2.206;509;5
CT LAGUNA BLANCA - SECCO;;Thermal power plant;4457.00;Industrial point source;Laguna Blanca;Formosa;-25.12695055;-58.25915073;Electrical energy;7;;;;2021;CAMMESA;2.70;6.052;1.652;;;;;2.805;647;6
CT LAS ARMAS II - EMGASUD;;Thermal power plant;606.00;Industrial point source;;Buenos Aires;-37.07639032;-57.81773168;;;;;;2021;CAMMESA;1.95;964;311;;;;;381;88;1
CT LAS PALMAS 2 - ARAUCARIA;;Thermal power plant;100667.00;Industrial point source;;Buenos Aires;-34.07978591;-59.12506332;;212;;;;2021;CAMMESA;2.27;166.580;47.528;;;;;63.352;14.622;139
CT LAS PALMAS -TURBODISEL;;Thermal power plant;543.00;Industrial point source;;Chaco;-27.03271109;-58.70358987;;7;;;;2021;CAMMESA;2.70;701;201;;;;;342;79;1
CT LIBERTADOR GSM - SULLAIR;;Thermal power plant;3331.00;Industrial point source;;Jujuy;-23.73223944;-64.61405755;;15;;;;2021;CAMMESA;2.70;4.567;1.235;;;;;2.096;484;5
CT LINCOLN;;Thermal power plant;5898.00;Industrial point source;Lincoln;Buenos Aires;-34.85716731;-61.52070383;Electrical energy;15;;;;2021;CAMMESA;2.70;8.336;2.187;;;;;3.712;857;8
CT LOBOS BS.AS - SULLAIR;;Thermal power plant;23328.00;Industrial point source;;Buenos Aires;-35.18956801;-59.07850788;;20;;;;2021;CAMMESA;2.70;32.079;8.649;;;;;14.681;3.388;32
CT LOMA CAMPANA 1 -YPF;;Thermal power plant;93992.00;Industrial point source;;Neuquén;-37.92686761;-68.71536317;;105;;;;2021;CAMMESA;1.95;200.046;48.246;;;;;59.152;13.652;130
CT LOMA CAMPANA 2 -Y-GEN ELECT;;Thermal power plant;164946.00;Industrial point source;;Neuquén;-37.92686761;-68.71536317;;107;;;;2021;CAMMESA;1.95;346.985;84.666;;;;;103.805;23.958;228
CT LOMA DE LA LATA II(NEUQUEN);;Thermal power plant;228867.00;Industrial point source;;Neuquén;-38.51180658;-68.6063997;;105;;;;2021;CAMMESA;1.95;492.685;117.477;;;;;144.032;33.243;316
CT LUJAN II - ARAUCARIA ENERGY;;Thermal power plant;68363.00;Industrial point source;;Buenos Aires;-34.55594176;-59.03483213;;127;;;;2021;CAMMESA;2.01;141.117;35.048;;;;;43.023;9.930;94
CT MAGDALENA - APR ENERGY;;Thermal power plant;4433.00;Industrial point source;;Buenos Aires;-35.100081;-57.483894;;25;;;;2021;CAMMESA;2.70;5.861;1.644;;;;;2.790;644;6
CT MATHEU II - APR ENERGY;;Thermal power plant;1875.00;Industrial point source;;Buenos Aires;-34.39580865;-58.83489199;;229;;;;2021;CAMMESA;1.95;3.070;962;;;;;1.180;272;3
CT MIRAMAR I - ENERGYST;;Thermal power plant;23587.00;Industrial point source;;Buenos Aires;-38.24736618;-57.82379749;;20;;;;2021;CAMMESA;2.70;33.150;8.745;;;;;14.844;3.426;33
CT ORAN - SECCO;;Thermal power plant;3717.00;Industrial point source;;Salta;-23.1386542;-64.31143463;;15;;;;2021;CAMMESA;2.70;5.161;1.378;;;;;2.339;540;5
CT PARQUE INDUSTR.CATAM-SECCO;;Thermal power plant;8843.00;Industrial point source;;Catamarca;-28.52995995;-65.80098711;;15;;;;2021;CAMMESA;2.70;12.452;3.279;;;;;5.565;1.284;12
CT PASO LA PATRIA-TURBODISEL;;Thermal power plant;1189.00;Industrial point source;;Corrientes;-27.32287605;-58.56667495;;7;;;;2021;CAMMESA;2.70;1.658;441;;;;;748;173;2
CT PEREZ - SECCO;;Thermal power plant;109776.00;Industrial point source;;Santa Fe;-33.01941125;-60.82494636;;81;;;;2021;CAMMESA;2.65;174.695;36.542;;;;;69.085;15.945;152
CT PIEDRABUENA MG(L.LATA);;Thermal power plant;173945.00;Industrial point source;;Buenos Aires;-38.03244943;-62.3371078;;100;;;;2021;CAMMESA;2.61;300.504;65.659;;;;;109.468;25.265;240
CT PILAR - EPEC;;Thermal power plant;1055603.00;Industrial point source;;Córdoba;-31.66577634;-63.83191433;;466;;;;2021;CAMMESA;2.25;2.334.319;509.621;;;;;664.319;153.325;1.459
CT PILAR BS AS- PAMPA ENERGÍA;;Thermal power plant;187528.00;Industrial point source;;Buenos Aires;-34.2986356;-58.95101224;;100;;;;2021;CAMMESA;2.62;299.260;62.796;;;;;118.016;27.238;259
CT PIRANE - SULLAIR;;Thermal power plant;10675.00;Industrial point source;;Formosa;-25.67861;-59.07556;;16;;;;2021;CAMMESA;2.70;14.583;3.958;;;;;6.718;1.551;15
CT PRESIDENCIA ROCA;;Thermal power plant;1276.00;Industrial point source;;Chaco;-26.15352072;-59.60000813;;6;;;;2021;CAMMESA;2.70;1.712;473;;;;;803;185;2
CT RAFAELA - SECCO;;Thermal power plant;7300.00;Industrial point source;;Santa Fe;-31.25667;-61.52028;;19;;;;2021;CAMMESA;2.70;10.246;2.707;;;;;4.594;1.060;10
CT REALICO - SECCO;;Thermal power plant;6721.00;Industrial point source;;La Pampa;-35.055000;-64.24056;;24;;;;2021;CAMMESA;2.70;9.378;2.492;;;;;4.230;976;9
CT RENOVA - ALBANESI ENERGIA;;Thermal power plant;457321.00;Industrial point source;;Santa Fe;-32.60348225;-60.79474192;;172;;;;2021;CAMMESA;2.17;1.027.889;229.327;;;;;287.804;66.425;632
CT RIO TERCERO II - SoENERGY;;Thermal power plant;30138.00;Industrial point source;;Córdoba;-32.16105961;-64.15478473;;60;;;;2021;CAMMESA;2.31;47.055;12.289;;;;;18.967;4.378;42
CT ROCA SA;;Thermal power plant;502028.00;Industrial point source;;Río Negro;-38.64532632;-67.6716524;;193;;;;2021;CAMMESA;2.14;1.150.910;255.982;;;;;315.940;72.919;694
CT RUFINO Sta Fe - ENARSA;;Thermal power plant;8965.00;Industrial point source;;Santa Fe;-34.28871794;-62.66959238;;32;;;;2021;CAMMESA;2.70;12.391;3.324;;;;;5.642;1.302;12
CT SAENZ PEÑA - APR ENERGY;;Thermal power plant;3654.00;Industrial point source;;Chaco;-26.81555556;-60.41138889;;20;;;;2021;CAMMESA;2.70;4.769;1.355;;;;;2.300;531;5
CT SAENZ PEÑA II- AGGREKO;;Thermal power plant;4626.00;Industrial point source;;Chaco;-26.81477999;-60.41267637;;15;;;;2021;CAMMESA;2.70;6.301;1.715;;;;;2.911;672;6
CT SALTO 2 - SoENERGY;;Thermal power plant;103648.00;Industrial point source;;Buenos Aires;-34.20426055;-60.24871635;;63;;;;2021;CAMMESA;2.31;160.695;45.391;;;;;65.228;15.055;143
CT SAN MARTIN Chaco;;Thermal power plant;1320.00;Industrial point source;;Chaco;-26.55845431;-59.32413238;;15;;;;2021;CAMMESA;2.70;1.616;489;;;;;831;192;2
CT SAN PEDRO - CIERRE CC;;Thermal power plant;33804.00;Industrial point source;;Buenos Aires;-33.77667601;-59.72699232;;50;;;;2021;CAMMESA;1.95;62.581;17.351;;;;;21.274;4.910;47
CT SAN PEDRO - SPI ENERGY SA;;Thermal power plant;46087.00;Industrial point source;;Buenos Aires;-33.77822014;-59.72715283;;108;;;;2021;CAMMESA;2.27;75.572;21.399;;;;;29.004;6.694;64
CT SAN SALVADOR E.Rios -ENARSA;;Thermal power plant;1815.00;Industrial point source;;Entre Ríos;-31.60970051;-58.48874915;;11;;;;2021;CAMMESA;2.70;2.521;673;;;;;1.142;264;3
CT SAN VICENTE BsAs - ENARSA;;Thermal power plant;4595.00;Industrial point source;;Buenos Aires;-35.04344836;-58.32534848;;28;;;;2021;CAMMESA;2.70;5.674;1.704;;;;;2.892;667;6
CT SANTA ROSA -TURBODISEL;;Thermal power plant;1988.00;Industrial point source;;Corrientes;-28.26247793;-58.12262641;;7;;;;2021;CAMMESA;2.70;2.620;737;;;;;1.251;289;3
CT TEREVINTOS - SECCO;;Thermal power plant;2652.00;Industrial point source;;Catamarca;-28.42876224;-65.78746942;;8;;;;2021;CAMMESA;2.70;3.544;983;;;;;1.669;385;4
CT TINOGASTA - SULLAIR;;Thermal power plant;4169.00;Industrial point source;;Catamarca;-28.04904452;-67.56608993;;15;;;;2021;CAMMESA;2.70;5.665;1.546;;;;;2.624;606;6
CT VENADO TUERTO - SECCO;;Thermal power plant;7617.00;Industrial point source;;Santa Fe;-33.75246685;-61.99327364;;19;;;;2021;CAMMESA;2.70;10.683;2.824;;;;;4.794;1.106;11
CT VIALE - AGGREKO;;Thermal power plant;4529.00;Industrial point source;;Entre Ríos;-31.89194;-60.01056;;10;;;;2021;CAMMESA;2.70;6.436;1.679;;;;;2.850;658;6
CT VILLA ANGELA - AGGREKO;;Thermal power plant;4977.00;Industrial point source;;Chaco;-27.60214589;-60.74649601;;15;;;;2021;CAMMESA;2.70;6.972;1.845;;;;;3.132;723;7
CT VILLA GESELL-CATLANT.;;Thermal power plant;333196.00;Industrial point source;;Buenos Aires;-37.24848426;-56.99724588;;80;;;;2021;CAMMESA;2.17;517.298;162.972;;;;;209.689;48.396;460
CT VILLA MARIA CIERRE CC-UENSA;;Thermal power plant;630749.00;Industrial point source;;Córdoba;-32.42693676;-63.17188574;;105;;;;2021;CAMMESA;2.32;1.388.995;290.222;;;;;396.947;91.615;872
CT VILLA OCAMPO - SECCO;;Thermal power plant;32945.00;Industrial point source;;Santa Fe;-28.51609309;-59.34577171;;50;;;;2021;CAMMESA;2.93;49.933;10.566;;;;;20.733;4.785;46
CT VUELTA DE OBLIGADO;;Thermal power plant;1829953.00;Industrial point source;;Santa Fe;-32.48882628;-60.79097087;;847;;;;2021;CAMMESA;2.31;4.250.341;836.664;;;;;1.151.638;265.798;2.529
CT ZAPPALORTO - APR ENERGY;;Thermal power plant;15249.00;Industrial point source;;Buenos Aires;-34.71869221;-58.73797554;;109;;;;2021;CAMMESA;2.15;22.324;6.878;;;;;9.597;2.215;21
EDECAT GENERACION;;Thermal power plant;397.00;Industrial point source;;Catamarca;-28.19232818;-65.11339956;;5;;;;2021;CAMMESA;2.70;527;147;;;;;250;58;1
EDELAR GENERACION;;Thermal power plant;18733.00;Industrial point source;;La Rioja;;;;19;;;;2021;CAMMESA;2.70;24.364;6.945;;;;;11.789;2.721;26
EDEN GENERACION;;Thermal power plant;1627.00;Industrial point source;;Buenos Aires;-34.05179982;-58.92965791;;28;;;;2021;CAMMESA;2.70;2.289;603;;;;;1.024;236;2
ELECTROPATAGONIA-C.RIV-C.COMB.;;Thermal power plant;15137.00;Industrial point source;;Chubut;-45.79136316;-67.52324552;;63;;;;2021;CAMMESA;1.95;16.175;7.770;;;;;9.526;2.199;21
EMP.DIS.S.ESTERO GENERACION;;Thermal power plant;4901.00;Industrial point source;;Santiago del Estero;;;;6;;;;2021;CAMMESA;2.70;6.582;1.817;;;;;3.084;712;7
EMSA GENERACION;;Thermal power plant;10472.00;Industrial point source;;Misiones;;;;33;;;;2021;CAMMESA;2.70;13.965;3.882;;;;;6.590;1.521;14
ENDESA COSTANERA SA;;Thermal power plant;2518331.00;Industrial point source;;Buenos Aires;-34.62334842;-58.34179385;;2.304;;;;2021;CAMMESA;2.26;5.724.889;1.247.224;;;;;1.584.853;365.784;3.480
ENERGIA DEL SUR S.A.;;Thermal power plant;226761.00;Industrial point source;;Chubut;-45.79337549;-67.51392216;;125;;;;2021;CAMMESA;1.95;439.211;116.395;;;;;142.707;32.937;313
EPEC GENERACION;;Thermal power plant;15814.00;Industrial point source;;Córdoba;;;;275;;;;2021;CAMMESA;2.18;14.381;7.372;;;;;9.952;2.297;22
GEN.MEDITERRANEA (CONT.PLUS);;Thermal power plant;36744.00;Industrial point source;;Córdoba;-33.15913174;-64.36424725;;120;;;;2021;CAMMESA;2.20;60.177;18.263;;;;;23.124;5.337;51
GEN.MEDITERRANEA GRUPO 5;;Thermal power plant;27675.00;Industrial point source;;Córdoba;-33.15913174;-64.36424725;;60;;;;2021;CAMMESA;2.20;46.103;13.806;;;;;17.417;4.020;38
GENELBA - PETROBRAS;;Thermal power plant;1898589.00;Industrial point source;;Buenos Aires;-34.9038311;-58.73254676;;684;;;;2021;CAMMESA;1.95;4.975.073;974.537;;;;;1.194.833;275.767;2.623
GENELBA - RES.287;;Thermal power plant;1396334.00;Industrial point source;;Buenos Aires;-34.9038311;-58.73254676;;381;;;;2021;CAMMESA;1.95;3.618.613;716.732;;;;;878.750;202.816;1.929
GENERACION FRIAS S.A.;;Thermal power plant;15755.00;Industrial point source;;Santiago del Estero;-28.56386859;-65.12249001;;60;;;;2021;CAMMESA;2.27;25.683;6.950;;;;;9.915;2.288;22
GENERACION INDEPENDENCIA S.A.;;Thermal power plant;28961.00;Industrial point source;;Tucumán;-26.86672994;-65.22196012;;120;;;;2021;CAMMESA;2.27;41.546;12.845;;;;;18.226;4.207;40
GENERACION LA BANDA S.A.;;Thermal power plant;2514.00;Industrial point source;;Santiago del Estero;-27.7529612;-64.26512026;;26;;;;2021;CAMMESA;2.12;2.455;1.248;;;;;1.582;365;3
GENERACION MEDITERRANEA;;Thermal power plant;6470.00;Industrial point source;;Córdoba;-32.94821426;-64.37649144;;68;;;;2021;CAMMESA;2.20;9.010;2.663;;;;;4.072;940;9
GENERACION MEDITERRANEA 220;;Thermal power plant;31381.00;Industrial point source;;Córdoba;-32.94821426;-64.37649144;;95;;;;2021;CAMMESA;2.29;49.554;13.972;;;;;19.749;4.558;43
GENERACION RIOJANA SA;;Thermal power plant;13132.00;Industrial point source;;La Rioja;-29.38221469;-66.83430162;;88;;;;2021;CAMMESA;2.32;17.840;5.631;;;;;8.264;1.907;18
GENERADORA Córdoba S.A.;;Thermal power plant;1537.00;Industrial point source;;Córdoba;-32.13195934;-64.15615033;;26;;;;2021;CAMMESA;2.38;1.216;602;;;;;967;223;2
GENERADORA ELEC.Tucumán SA;;Thermal power plant;9198.00;Industrial point source;;Tucumán;-26.99427143;-65.16588094;;232;;;;2021;CAMMESA;1.95;13.382;4.722;;;;;5.789;1.336;13
HIDROTERMICA SAN JUAN;;Thermal power plant;6068.00;Industrial point source;;San Juan;-31.51232265;-68.53794739;;30;;;;2021;CAMMESA;2.15;5.565;2.943;;;;;3.819;881;8
LA PLATA COGENERACION SA;;Thermal power plant;339665.00;Industrial point source;;Buenos Aires;-34.88934876;-57.92261647;;128;;;;2021;CAMMESA;1.95;728.404;174.349;;;;;213.760;49.336;469
LEDESMA SAAI;;Thermal power plant;7544.00;Industrial point source;;Jujuy;-23.82178298;-64.78451309;;;;;;2021;CAMMESA;1.95;11.617;3.872;;;;;4.748;1.096;10
LUJAN DE CUYO COGENERAC.PUERTO;;Thermal power plant;265976.00;Industrial point source;;Mendoza;-33.05228875;-68.97986675;;95;;;;2021;CAMMESA;1.95;722.978;136.524;;;;;167.386;38.633;368
MOLINOS AGRO AG.(Ex.Mol Rio P);;Thermal power plant;222.00;Industrial point source;;Santa Fe;;;;;;;;2021;CAMMESA;1.95;669;114;;;;;140;32;0
MOTOGENERADORES COSTANERA;;Thermal power plant;47985.00;Industrial point source;;Buenos Aires;-34.62294757;-58.34179446;;36;;;;2021;CAMMESA;2.92;70.060;15.166;;;;;30.198;6.970;66
NIDERA SAFORCADA-Junin;;Thermal power plant;20.00;Industrial point source;;Buenos Aires;-34.58607819;-34.58607819;;;;;;2021;CAMMESA;1.95;12;11;;;;;13;3;0
PAMPA ENERGIA SA;;Thermal power plant;78724.00;Industrial point source;;Salta;-24.68842844;-65.04387511;;295;;;;2021;CAMMESA;1.95;161.618;40.409;;;;;49.543;11.435;109
REFINERIA LA PLATA AUTOG;;Thermal power plant;10998.00;Industrial point source;;Buenos Aires;-34.88980716;-57.92284166;;;;;;2021;CAMMESA;1.95;24.206;5.645;;;;;6.921;1.597;15
SHELL CAPSA PTA. DOCK SUD;;Thermal power plant;25501.00;Industrial point source;;Buenos Aires;-34.65330519;-58.34357618;;;;;;2021;CAMMESA;1.95;36.188;13.090;;;;;16.048;3.704;35
SIDERAR PTA. IND. SAN NICOLAS;;Thermal power plant;31.00;Industrial point source;;Buenos Aires;-33.35478022;-60.1730117;;;;;;2021;CAMMESA;1.95;48;16;;;;;20;5;0
SINOPEC Arg. - El Huemul;;Thermal power plant;29407.00;Industrial point source;;Santa Cruz;-49.33023006;-72.88361232;;;;;;2021;CAMMESA;1.95;58.538;15.095;;;;;18.507;4.271;41
SINOPEC Arg. - Meseta Espinosa;;Thermal power plant;13683.00;Industrial point source;;Santa Cruz;;;;;;;;2021;CAMMESA;1.95;28.222;7.024;;;;;8.611;1.987;19
SOLALBAN ENERGIA SA;;Thermal power plant;42405.00;Industrial point source;;Buenos Aires;-38.78541148;-62.25754249;;;;;;2021;CAMMESA;1.95;72.739;21.766;;;;;26.687;6.159;59
TERMINAL 6 COGENERACION PUERTO;;Thermal power plant;209988.00;Industrial point source;;Santa Fe;-32.66237097;-60.74916497;;380;;;;2021;CAMMESA;2.21;463.298;103.919;;;;;132.151;30.500;290
TERMOELE. JOSE SAN MARTIN S.A;;Thermal power plant;2045982.00;Industrial point source;;Santa Fe;-32.57020631;-60.79050355;;865;;;;2021;CAMMESA;2.30;4.913.414;929.849;;;;;1.287.591;297.176;2.827
TERMOELECTRICA GUILLERMO BROWN;;Thermal power plant;1021465.00;Industrial point source;;Buenos Aires;-38.68206102;-62.42135034;;583;;;;2021;CAMMESA;2.24;1.795.155;491.937;;;;;642.835;148.366;1.411
TERMOELECTRICA M.BELGRANO S.A.;;Thermal power plant;2150020.00;Industrial point source;;Buenos Aires;-34.14974236;-59.00582295;;873;;;;2021;CAMMESA;2.24;5.630.198;1.054.380;;;;;1.353.065;312.287;2.971
YAC.ENTRE LOMAS AUTOGENERADOR;;Thermal power plant;27680.00;Industrial point source;;Río Negro;-38.13400181;-68.00363319;;;;;;2021;CAMMESA;1.95;55.278;14.208;;;;;17.420;4.020;38
YPF Autogenerador Pza. Huincul;;Thermal power plant;161867.00;Industrial point source;;Neuquén;-38.92994561;-69.16904786;;;;;;2021;CAMMESA;1.95;229.589;83.085;;;;;101.867;23.511;224
YPF CT MANANTIALES BEHR II AG;;Thermal power plant;8767.00;Industrial point source;;Chubut;-45.63426933;-67.80866884;;;;;;2021;CAMMESA;1.95;20.377;4.500;;;;;5.517;1.273;12
YPF EL TREBOL CT MANANT. BEHR;;Thermal power plant;6.00;Industrial point source;;Chubut;-45.67203528;-67.75657658;;;;;;2021;CAMMESA;1.95;12;3;;;;;4;1;0
YPF ENERGÍA ELECTR.ex PLUSPETG;;Thermal power plant;1400041.00;Industrial point source;;Tucumán;;;;829;;;;2021;CAMMESA;1.95;3.271.615;718.635;;;;;881.083;203.354;1.934
YPF LA PLATA COGENERACION;;Thermal power plant;228277.00;Industrial point source;;Buenos Aires;-34.89017736;-57.92279843;;90;;;;2021;CAMMESA;2.14;592.649;116.355;;;;;143.661;33.157;315
YPF LOS PERALES AUTOG;;Thermal power plant;68352.00;Industrial point source;;Santa Cruz;-46.1958354;-69.26507537;;;;;;2021;CAMMESA;1.95;107.575;35.085;;;;;43.016;9.928;94
YPF YAC P.HERNANDEZ AUTOG;;Thermal power plant;26.00;Industrial point source;;Neuquén;-37.29578133;-69.06655773;;;;;;2021;CAMMESA;1.95;47;13;;;;;16;4;0
BIOGAS CT AVELLANEDA SECCO;;Biogas Power Plant;41391.00;Biogenic point source;;Santa Fe;-29.1177703;-59.64047481;Electrical energy;6.3;;;;2022;CAMMESA/Bio4;18;;;;;;;26.048;6.012;57
CENTRAL BIOELECTRICA R.CUARTO1;;Biogas Power Plant;13140.00;Biogenic point source;;Córdoba;-33.17984121;-64.3831869;Electrical energy;2.0;;;;2022;CAMMESA/Bio4;18;;;;;;;8.269;1.909;18
C.BIOELECT.R.CUARTO1 REN2;;Biogas Power Plant;10249.20;Biogenic point source;;Córdoba;-33.17824283;-64.37979659;Electrical energy;1.6;;;;2022;CAMMESA/Bio4;18;;;;;;;6.450;1.489;14
C.BIOELECT.R.CUARTO2 REN1;;Biogas Power Plant;7884.00;Biogenic point source;;Córdoba;-33.18287626;-64.38488206;Electrical energy;1.2;;;;2022;CAMMESA/Bio4;18;;;;;;;4.962;1.145;11
C.BIOELECT.R.CUARTO2 REN2;;Biogas Power Plant;7884.00;Biogenic point source;;Córdoba;-33.18400764;-64.38492497;Electrical energy;1.2;;;;2022;CAMMESA/Bio4;18;;;;;;;4.962;1.145;11
BIOGAS CTBG CITRUSVIL-ALCOVIL;;Biogas Power Plant;19710.00;Biogenic point source;;Tucumán;-26.84580608;-65.13499577;Electrical energy;3.0;;;;2022;CAMMESA/Bio4;18;;;;;;;12.404;2.863;27
BIOGAS RS CT ENSENADA SECCO;;Biogas Power Plant;34821.00;Biogenic point source;;Buenos Aires;-34.86081282;-57.96314619;Electrical energy;5.3;;;;2022;CAMMESA/Bio4;18;;;;;;;21.914;5.058;48
CTBG GENERAL ALVEAR;;Biogas Power Plant;6570.00;Biogenic point source;;Buenos Aires;-36.01532605;-60.10616456;Electrical energy;1.0;;;;2022;CAMMESA/Bio4;18;;;;;;;4.135;954;9
BIOGAS CTBG GIGENA I;;Biogas Power Plant;7884.00;Biogenic point source;;Córdoba;-32.78552086;-64.19518873;Electrical energy;1.2;;;;2022;CAMMESA/Bio4;18;;;;;;;4.962;1.145;11
BIOGAS CTBG JUSTO DARACT;;Biogas Power Plant;6570.00;Biogenic point source;;San Luis;-33.9234622;-65.15093963;Electrical energy;1.0;;;;2022;CAMMESA/Bio4;18;;;;;;;4.135;954;9
BIOGAS CTBG PACUCA BIO ENERGÍA;;Biogas Power Plant;6570.00;Biogenic point source;;Buenos Aires;-35.38242174;-59.44253713;Electrical energy;1.0;;;;2022;CAMMESA/Bio4;18;;;;;;;4.135;954;9
BIOGAS CTBG PERGAMINO;;Biogas Power Plant;15768.00;Biogenic point source;;Buenos Aires;-33.92388171;-60.53821415;Electrical energy;2.4;;;;2022;CAMMESA/Bio4;18;;;;;;;9.923;2.290;22
C.T.SAN MARTIN NORTE 3A;;Biogas Power Plant;33507.00;Biogenic point source;;Buenos Aires;-34.5315305;-58.6087694;Electrical energy;5.1;;;;2022;CAMMESA/Bio4;18;;;;;;;21.087;4.867;46
CT SAN MIGUEL NORTE III-ENARSA;;Biogas Power Plant;75555.00;Biogenic point source;;Buenos Aires;-34.52484812;-58.61664438;Electrical energy;11.5;;;;2022;CAMMESA/Bio4;18;;;;;;;47.549;10.974;104
ENERGIA AGRO S.A.U;;Biogas Power Plant;9296.55;Biogenic point source;;Santa Fe;-34.18229245;-62.05263989;Electrical energy;1.4;;;;2022;CAMMESA/Bio4;18;;;;;;;5.851;1.350;13
